,Effective To Date
1498,2011-01-28
1499,2011-01-05
1500,2011-02-01
1501,2011-02-03
1502,2011-01-19
1503,2011-02-03
1504,2011-01-10
1505,2011-02-02
1506,2011-02-19
1507,2011-01-25
1508,2011-02-24
1509,2011-01-07
1510,2011-02-02
1511,2011-01-23
1512,2011-02-18
1513,2011-02-09
1514,2011-01-23
1515,2011-02-09
1516,2011-01-03
1517,2011-01-07
1518,2011-02-23
1519,2011-02-14
1520,2011-02-23
1521,2011-02-13
1522,2011-02-18
1523,2011-02-05
1524,2011-01-13
1525,2011-02-09
1526,2011-01-31
1527,2011-02-10
1528,2011-01-02
1529,2011-01-03
1530,2011-02-01
1531,2011-01-12
1532,2011-02-27
1533,2011-02-14
1534,2011-02-04
1535,2011-02-13
1536,2011-01-25
1537,2011-01-29
1538,2011-02-02
1539,2011-01-26
1540,2011-02-25
1541,2011-01-10
1542,2011-02-17
1543,2011-01-14
1544,2011-01-15
1545,2011-01-03
1546,2011-02-19
1547,2011-01-29
1548,2011-02-13
1549,2011-01-18
1550,2011-02-10
1551,2011-02-17
1552,2011-01-05
1553,2011-02-13
1554,2011-01-18
1555,2011-01-22
1556,2011-02-18
1557,2011-01-24
1558,2011-01-23
1559,2011-02-17
1560,2011-01-27
1561,2011-01-27
1562,2011-02-24
1563,2011-02-12
1564,2011-01-11
1565,2011-02-28
1566,2011-01-15
1567,2011-02-25
1568,2011-01-13
1569,2011-02-20
1570,2011-01-31
1571,2011-02-18
1572,2011-01-18
1573,2011-02-24
1574,2011-01-01
1575,2011-01-14
1576,2011-01-01
1577,2011-01-30
1578,2011-02-03
1579,2011-01-29
1580,2011-01-20
1581,2011-02-05
1582,2011-02-26
1583,2011-01-07
1584,2011-02-02
1585,2011-02-28
1586,2011-02-01
1587,2011-01-04
1588,2011-02-05
1589,2011-02-20
1590,2011-01-27
1591,2011-02-27
1592,2011-02-18
1593,2011-01-18
1594,2011-01-25
1595,2011-01-03
1596,2011-01-05
1597,2011-01-28
1598,2011-01-27
1599,2011-01-06
1600,2011-01-22
1601,2011-01-26
1602,2011-02-19
1603,2011-01-13
1604,2011-02-22
1605,2011-01-02
1606,2011-02-05
1607,2011-02-18
1608,2011-02-21
1609,2011-01-29
1610,2011-01-29
1611,2011-02-15
1612,2011-02-20
1613,2011-02-16
1614,2011-01-23
1615,2011-01-03
1616,2011-02-14
1617,2011-01-07
1618,2011-02-14
1619,2011-02-23
1620,2011-02-25
1621,2011-02-27
1622,2011-01-18
1623,2011-02-06
1624,2011-02-14
1625,2011-02-10
1626,2011-01-29
1627,2011-02-19
1628,2011-01-02
1629,2011-01-01
1630,2011-01-12
1631,2011-02-10
1632,2011-01-24
1633,2011-01-15
1634,2011-02-28
1635,2011-02-17
1636,2011-01-09
1637,2011-02-17
1638,2011-02-25
1639,2011-02-27
1640,2011-01-21
1641,2011-01-19
1642,2011-02-14
1643,2011-01-01
1644,2011-02-01
1645,2011-02-24
1646,2011-02-01
1647,2011-02-10
1648,2011-02-21
1649,2011-02-12
1650,2011-02-13
1651,2011-01-29
1652,2011-02-28
1653,2011-01-09
1654,2011-01-26
1655,2011-02-12
1656,2011-01-30
1657,2011-02-05
1658,2011-01-31
1659,2011-02-22
1660,2011-01-24
1661,2011-02-16
1662,2011-02-02
1663,2011-01-22
1664,2011-02-26
1665,2011-01-22
1666,2011-01-28
1667,2011-02-18
1668,2011-02-11
1669,2011-01-13
1670,2011-01-05
1671,2011-01-26
1672,2011-01-26
1673,2011-01-08
1674,2011-01-01
1675,2011-01-10
1676,2011-01-02
1677,2011-02-25
1678,2011-02-28
1679,2011-02-07
1680,2011-02-05
1681,2011-01-15
1682,2011-02-11
1683,2011-01-15
1684,2011-01-15
1685,2011-02-20
1686,2011-01-29
1687,2011-01-16
1688,2011-01-19
1689,2011-01-09
1690,2011-02-28
1691,2011-01-07
1692,2011-01-18
1693,2011-01-29
1694,2011-02-21
1695,2011-02-04
1696,2011-01-20
1697,2011-02-05
1698,2011-02-19
1699,2011-01-28
1700,2011-02-08
1701,2011-01-06
1702,2011-01-25
1703,2011-01-12
1704,2011-02-17
1705,2011-02-26
1706,2011-01-31
1707,2011-02-26
1708,2011-01-26
1709,2011-02-01
1710,2011-01-02
1711,2011-02-23
1712,2011-02-11
1713,2011-02-14
1714,2011-01-16
1715,2011-02-20
1716,2011-02-02
1717,2011-01-13
1718,2011-01-30
1719,2011-01-17
1720,2011-01-07
1721,2011-01-11
1722,2011-01-14
1723,2011-01-31
1724,2011-01-19
1725,2011-01-12
1726,2011-01-05
1727,2011-01-13
1728,2011-01-19
1729,2011-01-10
1730,2011-01-19
1731,2011-02-14
1732,2011-01-05
1733,2011-01-19
1734,2011-01-16
1735,2011-02-02
1736,2011-01-19
1737,2011-01-03
1738,2011-01-27
1739,2011-02-18
1740,2011-02-19
1741,2011-02-11
1742,2011-01-19
1743,2011-02-05
1744,2011-02-26
1745,2011-02-23
1746,2011-02-07
1747,2011-01-15
1748,2011-01-29
1749,2011-01-05
1750,2011-02-18
1751,2011-01-02
1752,2011-01-22
1753,2011-01-20
1754,2011-01-19
1755,2011-01-26
1756,2011-01-18
1757,2011-02-10
1758,2011-02-17
1759,2011-02-24
1760,2011-02-10
1761,2011-01-25
1762,2011-02-09
1763,2011-02-19
1764,2011-02-12
1765,2011-01-21
1766,2011-02-04
1767,2011-02-15
1768,2011-01-05
1769,2011-02-05
1770,2011-01-05
1771,2011-01-22
1772,2011-02-14
1773,2011-01-03
1774,2011-01-10
1775,2011-02-24
1776,2011-02-26
1777,2011-01-19
1778,2011-01-20
1779,2011-01-27
1780,2011-01-13
1781,2011-02-02
1782,2011-02-04
1783,2011-01-27
1784,2011-01-27
1785,2011-02-24
1786,2011-02-13
1787,2011-02-19
1788,2011-01-09
1789,2011-02-09
1790,2011-02-04
1791,2011-02-05
1792,2011-02-21
1793,2011-02-02
1794,2011-01-15
1795,2011-01-26
1796,2011-02-14
1797,2011-01-24
1798,2011-02-04
1799,2011-02-12
1800,2011-02-02
1801,2011-01-13
1802,2011-02-27
1803,2011-02-14
1804,2011-02-20
1805,2011-02-18
1806,2011-01-02
1807,2011-02-07
1808,2011-01-24
1809,2011-01-20
1810,2011-01-11
1811,2011-01-25
1812,2011-02-20
1813,2011-01-15
1814,2011-02-18
1815,2011-01-28
1816,2011-01-05
1817,2011-01-29
1818,2011-01-08
1819,2011-02-14
1820,2011-02-23
1821,2011-01-03
1822,2011-01-08
1823,2011-02-04
1824,2011-01-22
1825,2011-01-28
1826,2011-02-05
1827,2011-02-27
1828,2011-01-03
1829,2011-02-15
1830,2011-01-29
1831,2011-01-01
1832,2011-01-26
1833,2011-02-22
1834,2011-01-06
1835,2011-01-28
1836,2011-02-11
1837,2011-02-18
1838,2011-01-08
1839,2011-01-12
1840,2011-02-08
1841,2011-02-04
1842,2011-01-14
1843,2011-01-11
1844,2011-01-11
1845,2011-01-21
1846,2011-01-10
1847,2011-02-05
1848,2011-02-23
1849,2011-02-18
1850,2011-01-13
1851,2011-01-11
1852,2011-01-03
1853,2011-02-08
1854,2011-02-01
1855,2011-02-08
1856,2011-02-26
1857,2011-02-19
1858,2011-02-25
1859,2011-01-31
1860,2011-01-13
1861,2011-02-08
1862,2011-01-04
1863,2011-01-10
1864,2011-02-04
1865,2011-02-08
1866,2011-01-30
1867,2011-01-15
1868,2011-02-17
1869,2011-02-22
1870,2011-01-13
1871,2011-01-28
1872,2011-01-03
1873,2011-01-25
1874,2011-02-18
1875,2011-02-09
1876,2011-01-28
1877,2011-01-22
1878,2011-02-22
1879,2011-02-28
1880,2011-02-09
1881,2011-02-08
1882,2011-02-17
1883,2011-01-10
1884,2011-02-02
1885,2011-02-25
1886,2011-01-08
1887,2011-02-18
1888,2011-01-22
1889,2011-01-21
1890,2011-01-17
1891,2011-02-15
1892,2011-01-20
1893,2011-02-04
1894,2011-01-19
1895,2011-01-02
1896,2011-01-04
1897,2011-01-23
1898,2011-02-11
1899,2011-01-21
1900,2011-01-03
1901,2011-01-08
1902,2011-01-14
1903,2011-01-10
1904,2011-02-25
1905,2011-01-30
1906,2011-01-22
1907,2011-02-23
1908,2011-01-01
1909,2011-02-18
1910,2011-01-25
1911,2011-01-04
1912,2011-01-13
1913,2011-01-26
1914,2011-01-20
1915,2011-02-15
1916,2011-02-22
1917,2011-01-31
1918,2011-01-21
1919,2011-01-27
1920,2011-01-23
1921,2011-02-18
1922,2011-01-12
1923,2011-01-03
1924,2011-01-11
1925,2011-02-09
1926,2011-02-10
1927,2011-01-06
1928,2011-01-18
1929,2011-02-05
1930,2011-02-07
1931,2011-01-01
1932,2011-01-29
1933,2011-02-03
1934,2011-02-24
1935,2011-02-04
1936,2011-02-06
1937,2011-02-19
1938,2011-02-27
1939,2011-01-08
1940,2011-02-02
1941,2011-01-31
1942,2011-01-12
1943,2011-02-13
1944,2011-02-23
1945,2011-01-12
1946,2011-02-23
1947,2011-02-10
1948,2011-02-11
1949,2011-02-24
1950,2011-02-05
1951,2011-01-29
1952,2011-02-18
1953,2011-01-31
1954,2011-01-31
1955,2011-02-03
1956,2011-01-18
1957,2011-02-15
1958,2011-01-04
1959,2011-01-02
1960,2011-01-03
1961,2011-02-24
1962,2011-01-23
1963,2011-01-31
1964,2011-01-06
1965,2011-02-21
1966,2011-01-19
1967,2011-02-06
1968,2011-01-08
1969,2011-02-03
1970,2011-02-14
1971,2011-02-10
1972,2011-01-11
1973,2011-01-21
1974,2011-01-26
1975,2011-02-03
1976,2011-01-16
1977,2011-01-04
1978,2011-01-11
1979,2011-02-04
1980,2011-02-01
1981,2011-02-05
1982,2011-02-01
1983,2011-02-13
1984,2011-01-16
1985,2011-01-20
1986,2011-01-20
1987,2011-01-19
1988,2011-01-11
1989,2011-02-07
1990,2011-01-19
1991,2011-01-23
1992,2011-02-16
1993,2011-01-02
1994,2011-01-02
1995,2011-02-27
1996,2011-01-25
1997,2011-02-28
1998,2011-01-05
1999,2011-01-18
2000,2011-01-20
2001,2011-02-03
2002,2011-02-08
2003,2011-02-04
2004,2011-02-03
2005,2011-01-29
2006,2011-02-16
2007,2011-01-11
2008,2011-01-19
2009,2011-01-23
2010,2011-02-21
2011,2011-02-12
2012,2011-01-18
2013,2011-01-01
2014,2011-01-21
2015,2011-01-29
2016,2011-01-07
2017,2011-01-15
2018,2011-01-15
2019,2011-02-07
2020,2011-01-09
2021,2011-01-03
2022,2011-01-05
2023,2011-01-30
2024,2011-01-14
2025,2011-01-11
2026,2011-01-07
2027,2011-02-10
2028,2011-01-31
2029,2011-01-07
2030,2011-02-26
2031,2011-01-03
2032,2011-02-10
2033,2011-02-10
2034,2011-01-16
2035,2011-01-02
2036,2011-02-09
2037,2011-01-14
2038,2011-01-22
2039,2011-02-05
2040,2011-02-22
2041,2011-02-03
2042,2011-02-01
2043,2011-01-26
2044,2011-02-15
2045,2011-02-18
2046,2011-02-26
2047,2011-01-24
2048,2011-01-10
2049,2011-02-08
2050,2011-01-30
2051,2011-02-04
2052,2011-01-26
2053,2011-02-07
2054,2011-01-30
2055,2011-01-28
2056,2011-02-27
2057,2011-02-28
2058,2011-02-25
2059,2011-02-01
2060,2011-02-04
2061,2011-01-27
2062,2011-01-18
2063,2011-01-28
2064,2011-01-29
2065,2011-01-15
2066,2011-01-26
2067,2011-02-20
2068,2011-02-24
2069,2011-01-22
2070,2011-01-31
2071,2011-02-17
2072,2011-01-24
2073,2011-01-28
2074,2011-02-19
2075,2011-01-28
2076,2011-02-06
2077,2011-01-21
2078,2011-02-13
2079,2011-01-17
2080,2011-02-06
2081,2011-01-18
2082,2011-01-08
2083,2011-02-09
2084,2011-01-11
2085,2011-02-10
2086,2011-02-10
2087,2011-01-30
2088,2011-01-05
2089,2011-02-11
2090,2011-01-05
2091,2011-02-17
2092,2011-02-24
2093,2011-02-06
2094,2011-01-04
2095,2011-01-14
2096,2011-01-13
2097,2011-01-02
2098,2011-02-14
2099,2011-02-18
2100,2011-02-28
2101,2011-01-21
2102,2011-02-25
2103,2011-02-16
2104,2011-02-01
2105,2011-02-15
2106,2011-01-08
2107,2011-01-18
2108,2011-01-17
2109,2011-01-07
2110,2011-02-08
2111,2011-01-25
2112,2011-01-24
2113,2011-01-27
2114,2011-01-26
2115,2011-02-15
2116,2011-01-06
2117,2011-02-18
2118,2011-02-07
2119,2011-01-26
2120,2011-02-19
2121,2011-01-04
2122,2011-01-02
2123,2011-01-08
2124,2011-01-05
2125,2011-02-22
2126,2011-01-22
2127,2011-02-11
2128,2011-02-17
2129,2011-01-29
2130,2011-02-06
2131,2011-02-27
2132,2011-01-22
2133,2011-02-02
2134,2011-01-15
2135,2011-01-31
2136,2011-02-03
2137,2011-01-19
2138,2011-01-17
2139,2011-02-15
2140,2011-01-28
2141,2011-01-25
2142,2011-01-08
2143,2011-01-16
2144,2011-02-08
2145,2011-01-14
2146,2011-01-13
2147,2011-02-12
2148,2011-01-29
2149,2011-01-26
2150,2011-02-28
2151,2011-02-27
2152,2011-02-01
2153,2011-02-15
2154,2011-02-14
2155,2011-02-14
2156,2011-01-26
2157,2011-02-05
2158,2011-02-09
2159,2011-02-16
2160,2011-02-23
2161,2011-02-15
2162,2011-02-24
2163,2011-01-17
2164,2011-02-25
2165,2011-01-26
2166,2011-02-01
2167,2011-01-11
2168,2011-01-27
2169,2011-01-22
2170,2011-01-06
2171,2011-01-01
2172,2011-01-04
2173,2011-01-30
2174,2011-01-01
2175,2011-02-20
2176,2011-01-27
2177,2011-02-16
2178,2011-02-11
2179,2011-01-01
2180,2011-02-10
2181,2011-02-27
2182,2011-01-12
2183,2011-01-31
2184,2011-01-27
2185,2011-02-01
2186,2011-02-01
2187,2011-01-13
2188,2011-02-13
2189,2011-01-26
2190,2011-02-24
2191,2011-01-19
2192,2011-01-19
2193,2011-02-18
2194,2011-01-24
2195,2011-02-19
2196,2011-02-24
2197,2011-02-18
2198,2011-01-21
2199,2011-01-29
2200,2011-02-10
2201,2011-01-15
2202,2011-02-06
2203,2011-02-26
2204,2011-02-19
2205,2011-02-05
2206,2011-01-17
2207,2011-02-02
2208,2011-02-08
2209,2011-02-17
2210,2011-01-08
2211,2011-02-21
2212,2011-01-19
2213,2011-02-01
2214,2011-02-08
2215,2011-01-18
2216,2011-01-02
2217,2011-02-19
2218,2011-01-10
2219,2011-01-19
2220,2011-02-13
2221,2011-01-09
2222,2011-01-24
2223,2011-01-19
2224,2011-02-11
2225,2011-02-08
2226,2011-02-09
2227,2011-01-02
2228,2011-01-03
2229,2011-01-10
2230,2011-02-23
2231,2011-02-02
2232,2011-02-18
2233,2011-02-20
2234,2011-01-07
2235,2011-02-19
2236,2011-02-06
2237,2011-01-30
2238,2011-01-19
2239,2011-02-01
2240,2011-02-26
2241,2011-02-14
2242,2011-02-23
2243,2011-02-18
2244,2011-02-02
2245,2011-01-06
2246,2011-02-21
2247,2011-01-30
2248,2011-01-26
2249,2011-01-24
2250,2011-01-07
2251,2011-02-03
2252,2011-01-10
2253,2011-02-03
2254,2011-01-03
2255,2011-01-19
2256,2011-02-07
2257,2011-01-03
2258,2011-02-22
2259,2011-02-26
2260,2011-01-05
2261,2011-02-10
2262,2011-02-13
2263,2011-02-08
2264,2011-02-25
2265,2011-02-27
2266,2011-01-31
2267,2011-02-18
2268,2011-01-29
2269,2011-01-15
2270,2011-02-14
2271,2011-02-21
2272,2011-01-14
2273,2011-01-29
2274,2011-01-19
2275,2011-02-03
2276,2011-01-09
2277,2011-01-09
2278,2011-02-25
2279,2011-02-04
2280,2011-02-12
2281,2011-02-23
2282,2011-02-24
2283,2011-01-12
2284,2011-01-27
2285,2011-01-26
2286,2011-02-19
2287,2011-02-13
2288,2011-02-04
2289,2011-02-28
2290,2011-02-22
2291,2011-02-11
2292,2011-02-25
2293,2011-02-20
2294,2011-01-29
2295,2011-01-10
2296,2011-01-24
2297,2011-02-02
2298,2011-01-09
2299,2011-02-28
2300,2011-02-14
2301,2011-01-05
2302,2011-01-29
2303,2011-02-18
2304,2011-01-19
2305,2011-01-24
2306,2011-02-16
2307,2011-01-01
2308,2011-02-04
2309,2011-01-13
2310,2011-01-19
2311,2011-01-29
2312,2011-01-16
2313,2011-02-06
2314,2011-02-12
2315,2011-02-25
2316,2011-02-16
2317,2011-02-27
2318,2011-02-21
2319,2011-01-04
2320,2011-01-23
2321,2011-01-14
2322,2011-01-14
2323,2011-02-04
2324,2011-02-01
2325,2011-02-14
2326,2011-01-11
2327,2011-01-31
2328,2011-02-19
2329,2011-01-16
2330,2011-01-05
2331,2011-01-24
2332,2011-02-07
2333,2011-01-29
2334,2011-02-21
2335,2011-02-02
2336,2011-02-12
2337,2011-01-30
2338,2011-01-17
2339,2011-01-14
2340,2011-01-26
2341,2011-01-27
2342,2011-02-14
2343,2011-01-29
2344,2011-02-19
2345,2011-01-12
2346,2011-02-05
2347,2011-02-24
2348,2011-02-16
2349,2011-01-16
2350,2011-01-15
2351,2011-01-10
2352,2011-02-08
2353,2011-01-24
2354,2011-02-11
2355,2011-01-22
2356,2011-02-07
2357,2011-01-03
2358,2011-02-28
2359,2011-01-28
2360,2011-02-18
2361,2011-01-03
2362,2011-02-14
2363,2011-01-28
2364,2011-01-07
2365,2011-02-05
2366,2011-02-03
2367,2011-01-06
2368,2011-01-03
2369,2011-01-05
2370,2011-01-25
2371,2011-01-04
2372,2011-01-17
2373,2011-02-13
2374,2011-02-12
2375,2011-01-16
2376,2011-01-24
2377,2011-01-19
2378,2011-01-24
2379,2011-01-25
2380,2011-02-27
2381,2011-02-24
2382,2011-02-03
2383,2011-02-03
2384,2011-02-17
2385,2011-02-04
2386,2011-02-07
2387,2011-02-11
2388,2011-01-12
2389,2011-01-25
2390,2011-02-02
2391,2011-02-23
2392,2011-01-15
2393,2011-02-14
2394,2011-01-30
2395,2011-02-09
2396,2011-01-20
2397,2011-02-01
2398,2011-01-19
2399,2011-02-27
2400,2011-02-18
2401,2011-02-04
2402,2011-02-03
2403,2011-01-16
2404,2011-01-10
2405,2011-01-25
2406,2011-02-08
2407,2011-02-06
2408,2011-02-06
2409,2011-01-03
2410,2011-02-13
2411,2011-01-22
2412,2011-02-09
2413,2011-01-08
2414,2011-01-22
2415,2011-02-08
2416,2011-01-09
2417,2011-01-30
2418,2011-01-18
2419,2011-02-19
2420,2011-01-20
2421,2011-01-24
2422,2011-01-07
2423,2011-01-04
2424,2011-02-26
2425,2011-01-29
2426,2011-01-01
2427,2011-02-23
2428,2011-02-19
2429,2011-01-10
2430,2011-01-30
2431,2011-02-21
2432,2011-01-22
2433,2011-02-27
2434,2011-02-12
2435,2011-02-12
2436,2011-01-12
2437,2011-01-08
2438,2011-02-28
2439,2011-01-02
2440,2011-02-04
2441,2011-01-11
2442,2011-02-19
2443,2011-02-07
2444,2011-01-18
2445,2011-02-14
2446,2011-01-31
2447,2011-02-02
2448,2011-01-07
2449,2011-02-03
2450,2011-01-18
2451,2011-02-26
2452,2011-01-16
2453,2011-01-29
2454,2011-02-17
2455,2011-01-08
2456,2011-02-10
2457,2011-01-05
2458,2011-01-31
2459,2011-02-12
2460,2011-02-21
2461,2011-01-20
2462,2011-01-25
2463,2011-01-22
2464,2011-02-22
2465,2011-01-14
2466,2011-02-03
2467,2011-02-15
2468,2011-01-05
2469,2011-01-11
2470,2011-01-06
2471,2011-02-06
2472,2011-02-24
2473,2011-01-12
2474,2011-01-28
2475,2011-01-11
2476,2011-02-27
2477,2011-01-05
2478,2011-02-04
2479,2011-02-08
2480,2011-02-28
2481,2011-01-06
2482,2011-01-18
2483,2011-02-26
2484,2011-01-26
2485,2011-02-23
2486,2011-01-24
2487,2011-02-16
2488,2011-01-11
2489,2011-01-29
2490,2011-01-03
2491,2011-01-08
2492,2011-02-14
2493,2011-01-06
2494,2011-02-13
2495,2011-02-24
2496,2011-01-17
2497,2011-02-07
2498,2011-01-02
2499,2011-01-30
2500,2011-01-02
2501,2011-02-10
2502,2011-01-31
2503,2011-01-15
2504,2011-02-26
2505,2011-01-01
2506,2011-01-22
2507,2011-02-22
2508,2011-01-23
2509,2011-01-03
2510,2011-01-07
2511,2011-02-17
2512,2011-01-05
2513,2011-02-03
2514,2011-01-15
2515,2011-01-03
2516,2011-01-14
2517,2011-02-08
2518,2011-02-01
2519,2011-01-21
2520,2011-01-26
2521,2011-01-25
2522,2011-02-24
2523,2011-02-05
2524,2011-01-19
2525,2011-02-04
2526,2011-02-08
2527,2011-02-05
2528,2011-01-24
2529,2011-01-23
2530,2011-02-19
2531,2011-01-20
2532,2011-02-25
2533,2011-01-01
2534,2011-01-10
2535,2011-01-06
2536,2011-02-13
2537,2011-01-14
2538,2011-02-24
2539,2011-01-10
2540,2011-01-30
2541,2011-01-25
2542,2011-01-12
2543,2011-01-27
2544,2011-01-23
2545,2011-01-29
2546,2011-01-23
2547,2011-01-16
2548,2011-01-29
2549,2011-01-12
2550,2011-01-25
2551,2011-01-01
2552,2011-01-23
2553,2011-01-28
2554,2011-02-18
2555,2011-01-31
2556,2011-01-19
2557,2011-02-09
2558,2011-02-17
2559,2011-01-26
2560,2011-01-12
2561,2011-02-02
2562,2011-01-15
2563,2011-01-01
2564,2011-01-12
2565,2011-02-10
2566,2011-02-08
2567,2011-01-26
2568,2011-02-10
2569,2011-02-11
2570,2011-02-06
2571,2011-02-05
2572,2011-01-05
2573,2011-01-17
2574,2011-01-10
2575,2011-01-31
2576,2011-02-16
2577,2011-01-16
2578,2011-01-30
2579,2011-01-08
2580,2011-02-27
2581,2011-02-08
2582,2011-02-14
2583,2011-01-19
2584,2011-01-27
2585,2011-01-31
2586,2011-01-11
2587,2011-02-14
2588,2011-01-13
2589,2011-01-16
2590,2011-02-05
2591,2011-02-03
2592,2011-02-03
2593,2011-01-21
2594,2011-01-01
2595,2011-02-25
2596,2011-01-18
2597,2011-02-02
2598,2011-01-16
2599,2011-01-07
2600,2011-01-14
2601,2011-01-18
2602,2011-01-07
2603,2011-02-24
2604,2011-01-13
2605,2011-01-26
2606,2011-02-17
2607,2011-02-20
2608,2011-01-25
2609,2011-01-03
2610,2011-02-05
2611,2011-02-22
2612,2011-01-17
2613,2011-02-12
2614,2011-02-06
2615,2011-01-18
2616,2011-01-19
2617,2011-01-18
2618,2011-01-13
2619,2011-02-05
2620,2011-01-21
2621,2011-01-16
2622,2011-01-05
2623,2011-02-03
2624,2011-02-15
2625,2011-01-06
2626,2011-01-05
2627,2011-02-02
2628,2011-01-22
2629,2011-01-21
2630,2011-01-05
2631,2011-01-11
2632,2011-01-14
2633,2011-02-28
2634,2011-02-25
2635,2011-01-17
2636,2011-01-12
2637,2011-01-19
2638,2011-01-20
2639,2011-01-21
2640,2011-02-10
2641,2011-02-26
2642,2011-01-10
2643,2011-02-04
2644,2011-02-07
2645,2011-01-16
2646,2011-01-20
2647,2011-02-11
2648,2011-02-28
2649,2011-01-10
2650,2011-01-08
2651,2011-02-24
2652,2011-02-16
2653,2011-02-24
2654,2011-02-14
2655,2011-02-28
2656,2011-01-06
2657,2011-01-24
2658,2011-01-02
2659,2011-01-06
2660,2011-01-20
2661,2011-01-20
2662,2011-01-26
2663,2011-01-21
2664,2011-01-12
2665,2011-01-20
2666,2011-01-30
2667,2011-02-20
2668,2011-02-26
2669,2011-01-11
2670,2011-02-09
2671,2011-02-11
2672,2011-02-10
2673,2011-01-25
2674,2011-01-10
2675,2011-02-28
2676,2011-01-16
2677,2011-02-04
2678,2011-01-14
2679,2011-02-28
2680,2011-02-03
2681,2011-01-01
2682,2011-02-10
2683,2011-02-22
2684,2011-02-26
2685,2011-01-05
2686,2011-01-20
2687,2011-02-06
2688,2011-01-31
2689,2011-01-02
2690,2011-01-06
2691,2011-02-07
2692,2011-02-07
2693,2011-01-30
2694,2011-02-22
2695,2011-01-21
2696,2011-01-10
2697,2011-01-10
2698,2011-01-05
2699,2011-01-31
2700,2011-02-24
2701,2011-01-12
2702,2011-01-14
2703,2011-01-07
2704,2011-02-15
2705,2011-01-06
2706,2011-01-29
2707,2011-01-27
2708,2011-01-03
2709,2011-02-16
2710,2011-01-10
2711,2011-01-24
2712,2011-01-09
2713,2011-01-14
2714,2011-01-22
2715,2011-01-09
2716,2011-01-22
2717,2011-01-26
2718,2011-02-17
2719,2011-02-28
2720,2011-01-05
2721,2011-01-31
2722,2011-01-23
2723,2011-02-12
2724,2011-02-01
2725,2011-02-26
2726,2011-02-02
2727,2011-02-07
2728,2011-01-16
2729,2011-02-28
2730,2011-02-22
2731,2011-02-21
2732,2011-01-23
2733,2011-02-13
2734,2011-01-08
2735,2011-02-11
2736,2011-01-06
2737,2011-01-25
2738,2011-02-20
2739,2011-02-17
2740,2011-01-31
2741,2011-02-25
2742,2011-01-07
2743,2011-02-12
2744,2011-02-24
2745,2011-02-11
2746,2011-01-09
2747,2011-02-05
2748,2011-01-19
2749,2011-02-21
2750,2011-01-08
2751,2011-02-14
2752,2011-01-14
2753,2011-01-11
2754,2011-02-24
2755,2011-01-02
2756,2011-01-03
2757,2011-02-15
2758,2011-01-20
2759,2011-01-05
2760,2011-01-23
2761,2011-01-02
2762,2011-01-02
2763,2011-02-14
2764,2011-02-24
2765,2011-01-13
2766,2011-01-27
2767,2011-01-14
2768,2011-02-13
2769,2011-02-16
2770,2011-02-21
2771,2011-01-14
2772,2011-01-24
2773,2011-01-08
2774,2011-01-11
2775,2011-02-26
2776,2011-01-25
2777,2011-01-12
2778,2011-01-21
2779,2011-02-09
2780,2011-01-14
2781,2011-01-20
2782,2011-02-14
2783,2011-02-20
2784,2011-01-09
2785,2011-02-21
2786,2011-02-12
2787,2011-01-29
2788,2011-01-11
2789,2011-01-18
2790,2011-02-25
2791,2011-01-20
2792,2011-02-26
2793,2011-01-13
2794,2011-01-26
2795,2011-02-08
2796,2011-02-21
2797,2011-02-24
2798,2011-01-21
2799,2011-01-13
2800,2011-02-13
2801,2011-02-19
2802,2011-01-25
2803,2011-02-21
2804,2011-01-11
2805,2011-02-12
2806,2011-02-15
2807,2011-02-20
2808,2011-01-19
2809,2011-01-15
2810,2011-01-13
2811,2011-02-23
2812,2011-01-10
2813,2011-01-26
2814,2011-01-30
2815,2011-01-27
2816,2011-01-26
2817,2011-01-12
2818,2011-01-31
2819,2011-02-10
2820,2011-01-05
2821,2011-02-03
2822,2011-02-22
2823,2011-01-20
2824,2011-02-12
2825,2011-02-24
2826,2011-02-26
2827,2011-02-11
2828,2011-02-19
2829,2011-01-27
2830,2011-02-28
2831,2011-02-22
2832,2011-02-23
2833,2011-02-04
2834,2011-01-13
2835,2011-02-04
2836,2011-02-22
2837,2011-01-09
2838,2011-02-08
2839,2011-01-11
2840,2011-01-03
2841,2011-02-23
2842,2011-01-17
2843,2011-02-16
2844,2011-02-04
2845,2011-02-25
2846,2011-02-17
2847,2011-02-24
2848,2011-01-10
2849,2011-01-12
2850,2011-01-02
2851,2011-02-07
2852,2011-01-19
2853,2011-02-01
2854,2011-01-16
2855,2011-01-11
2856,2011-02-03
2857,2011-01-14
2858,2011-01-11
2859,2011-01-13
2860,2011-01-09
2861,2011-01-10
2862,2011-02-16
2863,2011-02-02
2864,2011-01-28
2865,2011-02-05
2866,2011-01-14
2867,2011-02-18
2868,2011-01-24
2869,2011-02-13
2870,2011-02-13
2871,2011-01-25
2872,2011-02-23
2873,2011-02-09
2874,2011-01-10
2875,2011-01-25
2876,2011-02-24
2877,2011-01-11
2878,2011-02-19
2879,2011-02-24
2880,2011-01-14
2881,2011-02-03
2882,2011-02-19
2883,2011-02-13
2884,2011-02-26
2885,2011-02-01
2886,2011-02-05
2887,2011-02-17
2888,2011-01-07
2889,2011-02-08
2890,2011-02-07
2891,2011-01-30
2892,2011-01-05
2893,2011-01-19
2894,2011-01-09
2895,2011-02-01
2896,2011-01-09
