Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
IL43607,California,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Branch,Four-Door Car,Medsize
FL85008,Oregon,Yes,Basic,High School or Below,2011-02-23,Disabled,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Small
AN47199,Nevada,No,Extended,College,2011-02-11,Unemployed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Large
SV28347,California,No,Basic,High School or Below,2011-02-14,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize
IC78105,Arizona,No,Basic,High School or Below,2011-01-16,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Luxury Car,Medsize
RB28630,Oregon,No,Basic,High School or Below,2011-02-20,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
KA32645,Nevada,No,Extended,College,2011-02-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
QD73891,Oregon,No,Basic,High School or Below,2011-01-13,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Web,Four-Door Car,Small
LM58949,Oregon,No,Basic,High School or Below,2011-01-30,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
YG40323,Arizona,No,Premium,Bachelor,2011-01-17,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Medsize
EP82214,Arizona,No,Extended,High School or Below,2011-01-07,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
EO91797,Nevada,No,Extended,Master,2011-01-11,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer3,Agent,SUV,Medsize
RU50098,Arizona,Yes,Basic,Master,2011-01-14,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize
QW10541,California,No,Basic,High School or Below,2011-01-31,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Small
SB50826,Oregon,No,Extended,College,2011-01-19,Employed,M,Urban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize
XX29952,Arizona,No,Premium,College,2011-01-12,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
AT93647,California,No,Basic,College,2011-01-05,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer4,Agent,Four-Door Car,Medsize
QP56563,Oregon,No,Basic,College,2011-01-13,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
TN76120,Washington,Yes,Basic,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
TY43440,California,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize
WO59883,Washington,No,Basic,High School or Below,2011-01-19,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize
MM45334,Oregon,No,Basic,College,2011-02-14,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
KH93988,Oregon,No,Extended,College,2011-01-05,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Web,Two-Door Car,Medsize
RY38931,Arizona,Yes,Basic,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
CV48634,Nevada,No,Basic,College,2011-01-16,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Call Center,SUV,Medsize
IH48064,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,SUV,Medsize
ZS96174,Oregon,No,Basic,College,2011-01-19,Medical Leave,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize
MI62456,Arizona,Yes,Extended,Bachelor,2011-01-03,Retired,F,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
DD44177,California,Yes,Basic,Doctor,2011-01-27,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
NX31380,Arizona,No,Extended,Bachelor,2011-02-18,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize
KQ43374,Oregon,No,Basic,College,2011-02-19,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize
XA54112,California,No,Basic,Bachelor,2011-02-11,Disabled,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize
QB14087,California,No,Basic,College,2011-01-19,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
FV42881,Oregon,No,Basic,College,2011-02-05,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer1,Call Center,Two-Door Car,Medsize
AV76907,Oregon,Yes,Basic,College,2011-02-26,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
VM85555,California,No,Basic,College,2011-02-23,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
ZU88113,Oregon,No,Extended,College,2011-02-07,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize
SZ75668,Oregon,No,Basic,College,2011-01-15,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
MZ65087,Oregon,No,Basic,College,2011-01-29,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Small
EL61402,Arizona,No,Extended,Bachelor,2011-01-05,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large
CJ31839,California,No,Basic,Bachelor,2011-02-18,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Web,Four-Door Car,Small
XM11175,Arizona,No,Extended,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Small
LF41085,Arizona,No,Basic,College,2011-01-22,Medical Leave,F,Rural,Divorced,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize
MB19556,California,No,Extended,College,2011-01-20,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,SUV,Medsize
HC74532,Oregon,No,Basic,Bachelor,2011-01-19,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Four-Door Car,Medsize
SB66770,Arizona,Yes,Premium,Master,2011-01-26,Employed,M,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Medsize
JI25066,Arizona,No,Basic,Bachelor,2011-01-18,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Large
PY98958,Oregon,Yes,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Single,Special Auto,Special L1,Offer1,Call Center,SUV,Medsize
RA65645,California,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Sports Car,Medsize
FQ79356,California,No,Basic,Bachelor,2011-02-24,Medical Leave,F,Urban,Married,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Medsize
TM25808,California,No,Basic,High School or Below,2011-02-10,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
XO46388,California,No,Basic,Bachelor,2011-01-25,Disabled,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
LB81265,Arizona,No,Basic,Bachelor,2011-02-09,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Medsize
JR38787,Nevada,No,Extended,High School or Below,2011-02-19,Disabled,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,SUV,Small
KZ22690,California,No,Extended,College,2011-02-12,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Medsize
NY49598,California,No,Basic,College,2011-01-21,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
KY39767,Oregon,No,Basic,College,2011-02-04,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
YU35386,Arizona,No,Basic,Bachelor,2011-02-15,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
TF82172,Arizona,No,Basic,College,2011-01-05,Medical Leave,M,Rural,Married,Corporate Auto,Corporate L1,Offer2,Web,SUV,Medsize
ER40041,Oregon,No,Basic,College,2011-02-05,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Luxury Car,Medsize
MS39869,Nevada,No,Basic,College,2011-01-05,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
PV77906,Arizona,No,Basic,Bachelor,2011-01-22,Disabled,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Web,Two-Door Car,Medsize
QF21045,Oregon,No,Basic,College,2011-02-14,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize
HF65914,Arizona,No,Extended,College,2011-01-03,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Two-Door Car,Medsize
AJ58038,California,Yes,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Call Center,Four-Door Car,Large
ZR88383,Nevada,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
OT49339,Oregon,No,Basic,College,2011-02-26,Disabled,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,SUV,Medsize
FI74985,Oregon,No,Basic,High School or Below,2011-01-19,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Medsize
JW15301,Arizona,No,Basic,High School or Below,2011-01-20,Medical Leave,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize
PY20159,Nevada,No,Extended,College,2011-01-27,Employed,M,Rural,Single,Corporate Auto,Corporate L1,Offer3,Web,Sports Car,Small
NC42524,California,No,Extended,College,2011-01-13,Employed,M,Suburban,Single,Special Auto,Special L3,Offer4,Web,Four-Door Car,Small
ZG19911,California,No,Basic,Bachelor,2011-02-02,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer4,Web,Two-Door Car,Medsize
DI89983,California,No,Basic,Bachelor,2011-02-04,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize
IG56214,Nevada,No,Basic,High School or Below,2011-01-27,Disabled,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize
LC59148,Washington,Yes,Extended,High School or Below,2011-01-27,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
UO95739,Oregon,No,Basic,College,2011-02-24,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize
SB64873,Oregon,No,Basic,Doctor,2011-02-13,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
TE82896,Oregon,No,Basic,High School or Below,2011-02-19,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
VY64199,Oregon,No,Basic,Bachelor,2011-01-09,Disabled,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize
IE82679,California,Yes,Basic,Bachelor,2011-02-09,Medical Leave,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
SL70257,Nevada,No,Basic,College,2011-02-04,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small
XJ85947,Oregon,No,Extended,College,2011-02-05,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Large
EF84269,California,No,Extended,College,2011-02-21,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize
NY91328,California,No,Extended,Bachelor,2011-02-02,Retired,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Large
AT49447,California,No,Extended,Bachelor,2011-01-15,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
BM70908,Arizona,No,Basic,College,2011-01-26,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
GM63998,Oregon,No,Premium,Doctor,2011-02-14,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Luxury Car,Medsize
AR61426,California,No,Extended,Bachelor,2011-01-24,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Medsize
CB62406,Arizona,No,Premium,High School or Below,2011-02-04,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize
WH82416,Oregon,No,Extended,Bachelor,2011-02-12,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Large
UI53874,Arizona,No,Basic,Doctor,2011-02-02,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
LM44949,Oregon,No,Basic,Doctor,2011-01-13,Employed,F,Urban,Married,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize
JR59597,California,No,Extended,Bachelor,2011-02-27,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Two-Door Car,Small
ZS22428,California,No,Basic,Bachelor,2011-02-14,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
AZ34845,California,No,Basic,Bachelor,2011-02-20,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize
FL67726,Washington,Yes,Basic,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
QU20310,Arizona,No,Extended,High School or Below,2011-01-02,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small
NQ42020,Oregon,No,Basic,High School or Below,2011-02-07,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Luxury SUV,Medsize
ZF40143,Nevada,No,Premium,College,2011-01-24,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
GU65780,California,No,Basic,Doctor,2011-01-20,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
KY32675,Arizona,No,Extended,High School or Below,2011-01-11,Employed,M,Suburban,Married,Special Auto,Special L3,Offer2,Branch,Two-Door Car,Small
ZX35838,Oregon,No,Premium,Master,2011-01-25,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
LU42720,Nevada,No,Extended,College,2011-02-20,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize
FB25242,Oregon,No,Basic,College,2011-01-15,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
RW51650,Oregon,Yes,Basic,Bachelor,2011-02-18,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
XX94684,Nevada,No,Extended,High School or Below,2011-01-28,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Sports Car,Small
AH99727,Arizona,No,Basic,Bachelor,2011-01-05,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
NZ85858,Arizona,No,Basic,High School or Below,2011-01-29,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
JU19953,California,No,Basic,Master,2011-01-08,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Medsize
LC33025,Oregon,No,Extended,College,2011-02-14,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Luxury Car,Medsize
BV86143,California,No,Basic,High School or Below,2011-02-23,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Medsize
AY88788,Oregon,No,Basic,College,2011-01-03,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Luxury SUV,Medsize
OJ33945,Oregon,No,Basic,High School or Below,2011-01-08,Employed,F,Rural,Divorced,Personal Auto,Personal L1,Offer3,Agent,Two-Door Car,Medsize
LO84523,Oregon,No,Basic,High School or Below,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Web,Luxury Car,Medsize
GJ43254,Washington,No,Extended,College,2011-01-22,Employed,M,Rural,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
AR96516,Oregon,No,Basic,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Web,Two-Door Car,Medsize
WH11924,Washington,No,Basic,College,2011-02-05,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Web,Two-Door Car,Large
DL26809,Nevada,No,Basic,College,2011-02-27,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small
MV69686,Oregon,No,Extended,Doctor,2011-01-03,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large
SC95565,Nevada,No,Basic,High School or Below,2011-02-15,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer4,Branch,Two-Door Car,Medsize
RL31641,Oregon,No,Basic,College,2011-01-29,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize
OH83248,California,No,Premium,Master,2011-01-01,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
DB28979,California,No,Basic,Bachelor,2011-01-26,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Agent,Two-Door Car,Medsize
ZS32263,California,No,Extended,High School or Below,2011-02-22,Employed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
IY59173,Oregon,No,Extended,Master,2011-01-06,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
KL17620,California,No,Basic,College,2011-01-28,Disabled,F,Suburban,Single,Corporate Auto,Corporate L1,Offer4,Web,Four-Door Car,Medsize
CP28581,Arizona,No,Basic,College,2011-02-11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
QR15592,Arizona,No,Basic,Bachelor,2011-02-18,Employed,F,Rural,Divorced,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize
DX98298,Washington,No,Basic,High School or Below,2011-01-08,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Sports Car,Small
TG68823,Arizona,Yes,Basic,Bachelor,2011-01-12,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small
WO78310,Oregon,No,Basic,College,2011-02-08,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Large
SC78905,Oregon,No,Basic,College,2011-02-04,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small
EL88957,California,No,Basic,College,2011-01-14,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
SS54050,California,No,Basic,Bachelor,2011-01-11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small
ZV99487,Arizona,No,Extended,Bachelor,2011-01-11,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize
XI51746,Oregon,No,Basic,Bachelor,2011-01-21,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize
KG85675,Nevada,Yes,Extended,Bachelor,2011-01-10,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Small
KK64803,California,No,Extended,High School or Below,2011-02-05,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
OM80593,California,No,Basic,Bachelor,2011-02-23,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
RL59810,Oregon,No,Basic,College,2011-02-18,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
QQ53360,Nevada,No,Extended,College,2011-01-13,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize
WR76339,California,No,Basic,College,2011-01-11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,Two-Door Car,Medsize
BA40043,California,No,Basic,College,2011-01-03,Employed,M,Rural,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
MK52197,Nevada,No,Basic,Master,2011-02-08,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
SV48204,Oregon,Yes,Extended,College,2011-02-01,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
RJ79502,Arizona,No,Basic,Bachelor,2011-02-08,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small
SM14243,Washington,No,Basic,High School or Below,2011-02-26,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
NL32558,Arizona,Yes,Extended,High School or Below,2011-02-19,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Two-Door Car,Small
CP92616,Nevada,No,Extended,High School or Below,2011-02-25,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Agent,Luxury SUV,Small
BP28492,Arizona,Yes,Basic,College,2011-01-31,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize
MX28412,Oregon,No,Basic,College,2011-01-13,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Medsize
DT99586,California,No,Basic,Master,2011-02-08,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
IC41932,Nevada,No,Basic,College,2011-01-04,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
DA35744,Oregon,No,Basic,Doctor,2011-01-10,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Offer4,Agent,Four-Door Car,Small
GU96042,California,No,Basic,High School or Below,2011-02-04,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
UW98698,California,No,Basic,College,2011-02-08,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize
SF32458,California,No,Basic,Doctor,2011-01-30,Medical Leave,M,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
OM85313,California,No,Basic,Master,2011-01-15,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
MH81246,Oregon,No,Extended,High School or Below,2011-02-17,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize
OH99089,California,No,Basic,Master,2011-02-22,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
TG57800,Oregon,No,Basic,College,2011-01-13,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize
GX19342,California,No,Premium,High School or Below,2011-01-28,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large
XE39286,Arizona,No,Extended,Bachelor,2011-01-03,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Web,Sports Car,Small
JA93297,California,Yes,Basic,Bachelor,2011-01-25,Retired,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
II37789,Arizona,No,Extended,College,2011-02-18,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Large
IC32996,Oregon,No,Basic,High School or Below,2011-02-09,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Two-Door Car,Medsize
LO67195,Arizona,No,Extended,College,2011-01-28,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large
PG93638,Oregon,No,Basic,College,2011-01-22,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Call Center,Two-Door Car,Medsize
OZ41737,Oregon,No,Basic,Doctor,2011-02-22,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large
OY66019,Oregon,No,Extended,College,2011-02-28,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
CH73843,Arizona,No,Basic,High School or Below,2011-02-09,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Two-Door Car,Large
XT93203,California,Yes,Premium,High School or Below,2011-02-08,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Luxury SUV,Medsize
OR85652,Oregon,No,Extended,Bachelor,2011-02-17,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize
YD87931,Washington,No,Basic,Doctor,2011-01-10,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
XK11432,Arizona,No,Basic,Bachelor,2011-02-02,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Small
OX24868,California,No,Premium,High School or Below,2011-02-25,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
EZ74530,Nevada,No,Basic,High School or Below,2011-01-08,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Sports Car,Medsize
HP46467,Oregon,No,Extended,College,2011-02-18,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer3,Web,SUV,Large
KP54476,California,No,Extended,Master,2011-01-22,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Two-Door Car,Medsize
AI47152,Nevada,No,Basic,College,2011-01-21,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
BU15334,California,Yes,Basic,Master,2011-01-17,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Large
GD59796,Nevada,No,Premium,College,2011-02-15,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
OX59701,California,No,Extended,High School or Below,2011-01-20,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,SUV,Medsize
OD63728,California,No,Basic,College,2011-02-04,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
JC38573,Oregon,Yes,Basic,Bachelor,2011-01-19,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
