,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size
1591,TS,50305,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
1592,BY,22068,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,1,4,Agent,Luxury SUV,Medsize
1593,TJ,48439,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L,1,3,Branch,Two-Door Car,Small
1594,TE,61015,Oregon,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L,1,2,Web,Four-Door Car,Medsize
1595,RD,89159,Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Medsize
1596,VW,86720,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,1,1,Call Center,Four-Door Car,Small
1597,UM,76485,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,2,Agent,SUV,Medsize
1598,LS,62045,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,4,Web,Four-Door Car,Large
1599,ZG,84862,Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Branch,Two-Door Car,Small
1600,CD,76093,Nevada,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,4,Call Center,Luxury Car,Medsize
1601,FO,99259,California,No,Premium,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Personal L,3,4,Call Center,Four-Door Car,Medsize
1602,KN,87338,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,2,4,Branch,Four-Door Car,Medsize
1603,LT,89398,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L,2,4,Web,Four-Door Car,Small
1604,NZ,19529,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,1,2,Agent,SUV,Medsize
1605,PR,41853,Arizona,No,Basic,Bachelor,Unemployed,F,Rural,Married,Corporate Auto,Corporate L,2,1,Agent,Sports Car,Medsize
1606,LH,92841,Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Medsize
1607,XR,84971,Oregon,No,Extended,Doctor,Employed,F,Rural,Single,Personal Auto,Personal L,1,1,Web,Four-Door Car,Medsize
1608,BP,83941,Arizona,No,Basic,Master,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,3,Web,SUV,Medsize
1609,PY,80449,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Branch,Sports Car,Medsize
1610,ET,22260,Nevada,No,Extended,Doctor,Unemployed,M,Rural,Single,Corporate Auto,Corporate L,2,1,Web,Four-Door Car,Medsize
1611,OF,47250,California,No,Basic,Doctor,Employed,F,Rural,Divorced,Personal Auto,Personal L,2,2,Call Center,SUV,Medsize
1612,WB,58031,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,1,Branch,Four-Door Car,Medsize
1613,UV,80201,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Call Center,Sports Car,Medsize
1614,PY,10605,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,1,Agent,Two-Door Car,Medsize
1615,JI,82682,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L,1,1,Web,Four-Door Car,Medsize
1616,BU,14748,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,4,Agent,Two-Door Car,Medsize
1617,QS,75550,Washington,No,Basic,Bachelor,Employed,F,Urban,Single,Corporate Auto,Corporate L,2,1,Branch,Two-Door Car,Medsize
1618,LD,26428,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L,3,2,Branch,Four-Door Car,Medsize
1619,MY,43761,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L,2,2,Agent,SUV,Large
1620,LO,77543,Washington,Yes,Basic,College,Employed,M,Suburban,Divorced,Special Auto,Special L,2,1,Agent,Two-Door Car,Medsize
1621,GY,55415,Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L,1,1,Web,SUV,Medsize
1622,IB,42395,Nevada,No,Premium,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L,3,1,Agent,SUV,Medsize
1623,ZU,74482,Oregon,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L,3,2,Agent,Two-Door Car,Medsize
1624,NL,74789,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Special L,2,1,Branch,Two-Door Car,Medsize
1625,YU,86594,Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L,3,1,Branch,Four-Door Car,Medsize
1626,QN,37451,California,No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L,2,1,Branch,Luxury Car,Medsize
1627,HS,28694,Washington,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,2,4,Branch,Two-Door Car,Medsize
1628,IL,83479,Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L,3,3,Call Center,Four-Door Car,Medsize
1629,EF,87528,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Special Auto,Special L,3,2,Agent,Two-Door Car,Medsize
1630,IV,74747,California,No,Extended,Doctor,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L,2,4,Web,Four-Door Car,Medsize
1631,JZ,81608,Oregon,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L,2,4,Branch,Four-Door Car,Medsize
1632,EO,40136,Arizona,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Personal L,2,2,Web,Four-Door Car,Small
1633,ZR,40902,Oregon,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L,2,1,Agent,Four-Door Car,Small
1634,PO,89542,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Medsize
1635,FX,57380,California,Yes,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L,2,2,Web,Two-Door Car,Medsize
1636,NM,22175,Oregon,No,Premium,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,SUV,Large
1637,BC,97773,Nevada,No,Basic,Master,Employed,F,Suburban,Divorced,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Large
1638,MN,34012,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
1639,KY,29506,California,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Small
1640,LC,44944,Washington,No,Premium,Doctor,Unemployed,F,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Small
1641,HC,20975,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Large
1642,IF,87079,Arizona,No,Basic,Master,Employed,F,Rural,Divorced,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
1643,EP,18940,Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Medsize
1644,SB,44003,Arizona,Yes,Extended,College,Employed,F,Rural,Divorced,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Medsize
1645,MK,15785,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Corporate L,2,4,Call Center,Sports Car,Medsize
1646,VP,89545,Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L,3,1,Web,Four-Door Car,Medsize
1647,HJ,58678,Nevada,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Medsize
1648,SH,51981,Washington,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Small
1649,IA,52178,Arizona,No,Premium,College,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,4,Web,SUV,Medsize
1650,WC,42895,California,No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Medsize
1651,OP,54725,Washington,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Branch,Four-Door Car,Small
1652,YM,77369,Oregon,No,Premium,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L,2,4,Web,Four-Door Car,Large
1653,WV,15213,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L,1,1,Branch,Four-Door Car,Medsize
1654,GX,37592,Nevada,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L,3,3,Web,Four-Door Car,Medsize
1655,PA,48777,Washington,Yes,Basic,High School or Below,Medical Leave,F,Suburban,Divorced,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
1656,YJ,59924,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L,1,3,Agent,Four-Door Car,Medsize
1657,OO,35641,Oregon,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Personal L,3,3,Agent,SUV,Medsize
1658,EU,54076,Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L,3,2,Agent,Four-Door Car,Medsize
1659,QH,56750,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,1,2,Agent,Four-Door Car,Medsize
1660,VF,32979,Washington,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L,2,1,Branch,Four-Door Car,Medsize
1661,ES,16126,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L,1,2,Branch,Four-Door Car,Medsize
1662,PG,42834,Arizona,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Medsize
1663,OY,44814,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Web,Two-Door Car,Medsize
1664,JI,97190,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,3,Branch,Two-Door Car,Large
1665,ZK,61113,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,3,Agent,Two-Door Car,Medsize
1666,MU,88116,Oregon,No,Basic,Master,Employed,F,Urban,Married,Corporate Auto,Corporate L,3,1,Web,Sports Car,Medsize
1667,TP,61305,California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Web,Four-Door Car,Medsize
1668,ZO,14864,Washington,No,Extended,Master,Employed,F,Urban,Divorced,Personal Auto,Personal L,3,2,Agent,Two-Door Car,Medsize
1669,KP,65334,California,No,Extended,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,1,1,Agent,Four-Door Car,Medsize
1670,OH,15677,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,1,Agent,Sports Car,Medsize
1671,HB,53755,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Sports Car,Medsize
1672,UF,77079,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Medsize
1673,TD,20252,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Medsize
1674,TH,68362,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,3,3,Agent,Four-Door Car,Medsize
1675,JC,45487,Washington,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Medsize
1676,PU,95227,Washington,No,Extended,Bachelor,Employed,M,Urban,Married,Personal Auto,Personal L,1,4,Agent,Four-Door Car,Medsize
1677,CV,72453,Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L,3,1,Agent,SUV,Small
1678,OY,92520,California,No,Extended,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Medsize
1679,UY,95530,California,Yes,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L,2,2,Agent,Sports Car,Medsize
1680,FB,84235,Oregon,Yes,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Medsize
1681,MJ,14480,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Medsize
1682,KW,81128,Arizona,No,Extended,College,Employed,F,Rural,Divorced,Personal Auto,Personal L,3,1,Agent,Sports Car,Medsize
1683,DQ,98402,Nevada,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,2,Agent,Two-Door Car,Large
1684,WN,53966,California,No,Extended,Master,Employed,M,Rural,Married,Personal Auto,Personal L,3,4,Call Center,Four-Door Car,Medsize
1685,LM,34525,Washington,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L,3,3,Branch,Four-Door Car,Medsize
1686,GF,97874,Washington,No,Basic,Master,Employed,F,Rural,Married,Personal Auto,Personal L,1,4,Call Center,Four-Door Car,Medsize
1687,WV,79842,California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Call Center,Luxury SUV,Medsize
1688,DF,40318,Oregon,Yes,Basic,Master,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,3,Web,Two-Door Car,Small
1689,TN,90661,Nevada,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,1,Branch,Four-Door Car,Medsize
1690,ZU,88029,Oregon,No,Basic,Master,Retired,F,Suburban,Single,Personal Auto,Personal L,3,3,Branch,Sports Car,Large
1691,TQ,88221,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L,1,4,Call Center,Four-Door Car,Medsize
1692,KH,34667,Nevada,No,Extended,College,Employed,M,Urban,Married,Corporate Auto,Corporate L,3,2,Web,Four-Door Car,Medsize
1693,HW,54198,Nevada,No,Basic,Master,Employed,M,Rural,Married,Personal Auto,Personal L,3,3,Call Center,Four-Door Car,Medsize
1694,GZ,79662,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,2,Call Center,Four-Door Car,Small
1695,YA,11342,California,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L,3,3,Branch,Four-Door Car,Medsize
1696,ZW,18871,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Corporate Auto,Corporate L,3,1,Agent,Four-Door Car,Small
1697,QZ,17137,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,2,3,Call Center,Two-Door Car,Medsize
1698,UV,53712,California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L,3,2,Web,Four-Door Car,Medsize
1699,SJ,43436,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L,1,2,Agent,Two-Door Car,Medsize
1700,VW,46878,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L,3,3,Agent,Four-Door Car,Medsize
1701,TW,91179,Oregon,Yes,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L,3,2,Branch,Four-Door Car,Medsize
1702,LG,19551,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Call Center,Four-Door Car,Medsize
1703,QK,18099,Washington,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L,2,3,Web,Four-Door Car,Large
1704,WN,14473,Arizona,No,Basic,Master,Employed,M,Urban,Married,Personal Auto,Personal L,3,2,Call Center,Two-Door Car,Medsize
1705,WH,62198,California,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L,2,1,Call Center,Four-Door Car,Small
1706,SP,85148,California,No,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Personal L,3,1,Web,Sports Car,Small
1707,FB,49203,California,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L,2,1,Agent,Two-Door Car,Medsize
1708,FF,94341,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Special Auto,Special L,3,1,Branch,Four-Door Car,Medsize
1709,TS,42594,California,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
1710,IL,43607,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,3,Branch,Four-Door Car,Medsize
1711,FL,85008,Oregon,Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Personal L,2,2,Agent,SUV,Small
1712,AN,47199,Nevada,No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,Personal L,2,1,Agent,Two-Door Car,Large
1713,SV,28347,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Corporate L,3,2,Branch,SUV,Medsize
1714,IC,78105,Arizona,No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Personal L,1,1,Branch,Luxury Car,Medsize
1715,RB,28630,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Small
1716,KA,32645,Nevada,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Medsize
1717,QD,73891,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,1,4,Web,Four-Door Car,Small
1718,LM,58949,Oregon,No,Basic,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
1719,YG,40323,Arizona,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L,3,1,Web,Four-Door Car,Medsize
1720,EP,82214,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Special Auto,Special L,2,2,Branch,Four-Door Car,Medsize
1721,EO,91797,Nevada,No,Extended,Master,Employed,F,Urban,Married,Corporate Auto,Corporate L,3,3,Agent,SUV,Medsize
1722,RU,50098,Arizona,Yes,Basic,Master,Employed,F,Rural,Single,Personal Auto,Personal L,3,2,Web,Four-Door Car,Medsize
1723,QW,10541,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L,3,2,Agent,Two-Door Car,Small
1724,SB,50826,Oregon,No,Extended,College,Employed,M,Urban,Single,Personal Auto,Personal L,1,2,Agent,Two-Door Car,Medsize
1725,XX,29952,Arizona,No,Premium,College,Employed,M,Rural,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
1726,AT,93647,California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L,2,4,Agent,Four-Door Car,Medsize
1727,QP,56563,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L,3,3,Agent,Four-Door Car,Medsize
1728,TN,76120,Washington,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
1729,TY,43440,California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,SUV,Medsize
1730,WO,59883,Washington,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L,2,2,Agent,Two-Door Car,Medsize
1731,MM,45334,Oregon,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L,3,3,Call Center,Four-Door Car,Medsize
1732,KH,93988,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Web,Two-Door Car,Medsize
1733,RY,38931,Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
1734,CV,48634,Nevada,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L,2,4,Call Center,SUV,Medsize
1735,IH,48064,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,3,Agent,SUV,Medsize
1736,ZS,96174,Oregon,No,Basic,College,Medical Leave,M,Suburban,Single,Personal Auto,Personal L,3,1,Branch,Two-Door Car,Medsize
1737,MI,62456,Arizona,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,Personal L,1,2,Call Center,Four-Door Car,Medsize
1738,DD,44177,California,Yes,Basic,Doctor,Disabled,F,Suburban,Divorced,Personal Auto,Personal L,3,2,Branch,Two-Door Car,Medsize
1739,NX,31380,Arizona,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L,1,1,Branch,Four-Door Car,Medsize
1740,KQ,43374,Oregon,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,Corporate L,3,1,Agent,SUV,Medsize
1741,XA,54112,California,No,Basic,Bachelor,Disabled,M,Suburban,Single,Corporate Auto,Corporate L,3,1,Call Center,SUV,Medsize
1742,QB,14087,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
1743,FV,42881,Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Corporate L,1,1,Call Center,Two-Door Car,Medsize
1744,AV,76907,Oregon,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
1745,VM,85555,California,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L,2,3,Branch,Four-Door Car,Medsize
1746,ZU,88113,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Personal L,2,1,Agent,Two-Door Car,Medsize
1747,SZ,75668,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
1748,MZ,65087,Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Personal L,3,4,Web,Four-Door Car,Small
1749,EL,61402,Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Large
1750,CJ,31839,California,No,Basic,Bachelor,Employed,M,Urban,Married,Special Auto,Special L,2,2,Web,Four-Door Car,Small
1751,XM,11175,Arizona,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,1,1,Web,Four-Door Car,Small
1752,LF,41085,Arizona,No,Basic,College,Medical Leave,F,Rural,Divorced,Personal Auto,Personal L,2,1,Agent,Two-Door Car,Medsize
1753,MB,19556,California,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Personal L,2,4,Agent,SUV,Medsize
1754,HC,74532,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,3,4,Agent,Four-Door Car,Medsize
1755,SB,66770,Arizona,Yes,Premium,Master,Employed,M,Rural,Married,Corporate Auto,Corporate L,2,1,Agent,Two-Door Car,Medsize
1756,JI,25066,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L,3,3,Web,Two-Door Car,Large
1757,PY,98958,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Special Auto,Special L,1,1,Call Center,SUV,Medsize
1758,RA,65645,California,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L,2,2,Agent,Sports Car,Medsize
1759,FQ,79356,California,No,Basic,Bachelor,Medical Leave,F,Urban,Married,Personal Auto,Personal L,2,3,Call Center,Four-Door Car,Medsize
1760,TM,25808,California,No,Basic,High School or Below,Employed,M,Urban,Divorced,Personal Auto,Personal L,3,1,Agent,Two-Door Car,Medsize
1761,XO,46388,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Personal L,2,1,Call Center,Four-Door Car,Medsize
1762,LB,81265,Arizona,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Personal L,2,3,Call Center,Four-Door Car,Medsize
1763,JR,38787,Nevada,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L,1,2,Branch,SUV,Small
1764,KZ,22690,California,No,Extended,College,Employed,F,Rural,Single,Personal Auto,Personal L,3,4,Web,Four-Door Car,Medsize
1765,NY,49598,California,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Small
1766,KY,39767,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L,2,1,Call Center,Four-Door Car,Medsize
1767,YU,35386,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,4,Call Center,Four-Door Car,Medsize
1768,TF,82172,Arizona,No,Basic,College,Medical Leave,M,Rural,Married,Corporate Auto,Corporate L,1,2,Web,SUV,Medsize
1769,ER,40041,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Call Center,Luxury Car,Medsize
1770,MS,39869,Nevada,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L,1,2,Call Center,Four-Door Car,Medsize
1771,PV,77906,Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Web,Two-Door Car,Medsize
1772,QF,21045,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L,2,2,Branch,Two-Door Car,Medsize
1773,HF,65914,Arizona,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L,1,1,Branch,Two-Door Car,Medsize
1774,AJ,58038,California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,1,2,Call Center,Four-Door Car,Large
1775,ZR,88383,Nevada,Yes,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
1776,OT,49339,Oregon,No,Basic,College,Disabled,M,Urban,Married,Corporate Auto,Corporate L,3,2,Call Center,SUV,Medsize
1777,FI,74985,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,1,1,Web,Four-Door Car,Medsize
1778,JW,15301,Arizona,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Corporate Auto,Corporate L,3,2,Agent,Four-Door Car,Medsize
1779,PY,20159,Nevada,No,Extended,College,Employed,M,Rural,Single,Corporate Auto,Corporate L,1,3,Web,Sports Car,Small
1780,NC,42524,California,No,Extended,College,Employed,M,Suburban,Single,Special Auto,Special L,3,4,Web,Four-Door Car,Small
1781,ZG,19911,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,2,4,Web,Two-Door Car,Medsize
1782,DI,89983,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L,3,3,Branch,Four-Door Car,Medsize
1783,IG,56214,Nevada,No,Basic,High School or Below,Disabled,M,Suburban,Divorced,Personal Auto,Personal L,1,1,Call Center,Four-Door Car,Medsize
1784,LC,59148,Washington,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L,1,1,Branch,SUV,Medsize
1785,UO,95739,Oregon,No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Personal L,3,1,Web,SUV,Medsize
1786,SB,64873,Oregon,No,Basic,Doctor,Employed,M,Suburban,Single,Personal Auto,Personal L,2,2,Branch,Four-Door Car,Medsize
