,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
709,Oregon,No,Premium,Bachelor,2011-01-10,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize
710,California,No,Basic,College,2011-02-19,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
711,Oregon,Yes,Basic,Bachelor,2011-01-03,Unemployed,M,Suburban,Married,Personal Auto,1,2,Agent,Two-Door Car,Medsize
712,Arizona,No,Basic,Bachelor,2011-01-26,Employed,M,Urban,Divorced,Personal Auto,3,3,Branch,SUV,Medsize
713,California,No,Premium,Bachelor,2011-02-28,Unemployed,M,Suburban,Single,Corporate Auto,2,4,Web,SUV,Medsize
714,Nevada,No,Extended,Bachelor,2011-01-13,Unemployed,M,Suburban,Married,Personal Auto,2,2,Branch,SUV,Small
715,Arizona,No,Basic,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal Auto,2,3,Web,Sports Car,Medsize
716,Oregon,No,Basic,College,2011-02-16,Employed,F,Rural,Married,Corporate Auto,3,4,Agent,Four-Door Car,Medsize
717,California,No,Basic,College,2011-01-08,Unemployed,M,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Medsize
718,Arizona,No,Extended,High School or Below,2011-02-03,Employed,F,Suburban,Married,Corporate Auto,3,3,Branch,Sports Car,Medsize
719,Washington,No,Extended,High School or Below,2011-02-11,Employed,F,Rural,Married,Corporate Auto,3,4,Agent,Sports Car,Medsize
720,California,No,Extended,College,2011-01-10,Employed,M,Suburban,Divorced,Special Auto,2,1,Branch,SUV,Medsize
721,California,No,Basic,Bachelor,2011-02-23,Disabled,M,Rural,Married,Personal Auto,1,3,Agent,Two-Door Car,Medsize
722,California,No,Premium,College,2011-01-10,Employed,M,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Small
723,California,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize
724,Oregon,No,Basic,College,2011-02-06,Employed,M,Suburban,Single,Corporate Auto,2,2,Web,Four-Door Car,Medsize
725,Arizona,No,Basic,Bachelor,2011-01-20,Medical Leave,M,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Medsize
726,Arizona,Yes,Basic,High School or Below,2011-02-03,Disabled,F,Suburban,Single,Personal Auto,3,1,Web,Two-Door Car,Small
727,Oregon,No,Basic,College,2011-02-13,Employed,F,Rural,Married,Corporate Auto,1,1,Call Center,SUV,Medsize
728,California,No,Basic,High School or Below,2011-01-17,Employed,M,Rural,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
729,California,No,Extended,College,2011-02-09,Employed,M,Suburban,Married,Corporate Auto,3,4,Branch,Four-Door Car,Small
730,Nevada,No,Extended,Master,2011-01-02,Employed,M,Rural,Married,Personal Auto,3,1,Agent,SUV,Small
731,Washington,No,Extended,Bachelor,2011-02-26,Employed,M,Rural,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize
732,Arizona,No,Basic,Bachelor,2011-02-13,Employed,M,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize
733,Nevada,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Divorced,Corporate Auto,3,1,Branch,Two-Door Car,Large
734,Arizona,No,Basic,Bachelor,2011-02-26,Employed,M,Suburban,Single,Personal Auto,1,3,Call Center,Four-Door Car,Medsize
735,Arizona,No,Extended,High School or Below,2011-02-12,Employed,F,Rural,Married,Personal Auto,1,4,Call Center,Four-Door Car,Medsize
736,California,Yes,Basic,Bachelor,2011-01-21,Employed,M,Rural,Married,Personal Auto,1,2,Agent,SUV,Medsize
737,Arizona,No,Basic,Bachelor,2011-02-05,Employed,M,Suburban,Divorced,Personal Auto,3,3,Branch,Sports Car,Large
738,Oregon,No,Extended,Bachelor,2011-02-18,Employed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Two-Door Car,Small
739,California,No,Basic,College,2011-01-17,Unemployed,M,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
740,Oregon,No,Basic,College,2011-02-13,Employed,M,Suburban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize
741,Washington,No,Extended,College,2011-02-03,Unemployed,F,Rural,Married,Personal Auto,3,3,Branch,SUV,Medsize
742,Oregon,No,Basic,Master,2011-01-01,Unemployed,M,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
743,California,No,Basic,High School or Below,2011-02-19,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,SUV,Medsize
744,Nevada,No,Basic,Bachelor,2011-02-25,Employed,M,Suburban,Married,Personal Auto,2,3,Web,Four-Door Car,Medsize
745,Oregon,No,Extended,High School or Below,2011-02-19,Employed,F,Urban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize
746,California,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,2,3,Web,Two-Door Car,Medsize
747,Washington,No,Basic,High School or Below,2011-02-13,Unemployed,F,Suburban,Single,Personal Auto,1,2,Branch,Four-Door Car,Small
748,Nevada,Yes,Basic,Master,2011-01-03,Employed,F,Rural,Married,Personal Auto,1,2,Web,Four-Door Car,Large
749,Oregon,No,Basic,College,2011-02-19,Employed,F,Suburban,Married,Special Auto,1,2,Agent,SUV,Medsize
750,California,No,Extended,College,2011-01-22,Medical Leave,M,Suburban,Divorced,Personal Auto,2,4,Web,Four-Door Car,Medsize
751,Washington,No,Premium,High School or Below,2011-01-23,Unemployed,F,Suburban,Married,Personal Auto,2,3,Branch,Two-Door Car,Medsize
752,Arizona,No,Basic,College,2011-02-12,Employed,F,Rural,Divorced,Personal Auto,3,1,Branch,Sports Car,Medsize
753,California,Yes,Basic,College,2011-02-02,Medical Leave,F,Suburban,Married,Special Auto,2,2,Call Center,Four-Door Car,Medsize
754,California,No,Extended,Bachelor,2011-02-24,Employed,F,Rural,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize
755,California,Yes,Premium,Bachelor,2011-01-05,Retired,F,Suburban,Married,Personal Auto,1,1,Agent,Luxury SUV,Medsize
756,Nevada,No,Basic,College,2011-02-24,Employed,F,Rural,Married,Personal Auto,3,2,Agent,Four-Door Car,Medsize
757,Arizona,No,Extended,High School or Below,2011-02-26,Medical Leave,M,Suburban,Married,Corporate Auto,2,1,Branch,Luxury SUV,Large
758,Arizona,No,Basic,Bachelor,2011-01-17,Employed,F,Suburban,Married,Personal Auto,1,2,Call Center,Four-Door Car,Medsize
759,Oregon,No,Extended,College,2011-01-22,Unemployed,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Large
760,Washington,No,Basic,High School or Below,2011-01-07,Employed,M,Urban,Single,Corporate Auto,3,1,Branch,Luxury SUV,Medsize
761,California,No,Basic,High School or Below,2011-01-18,Unemployed,F,Rural,Married,Personal Auto,3,1,Branch,Sports Car,Medsize
762,California,No,Extended,High School or Below,2011-01-07,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize
763,Arizona,No,Basic,College,2011-02-07,Unemployed,M,Suburban,Single,Corporate Auto,3,2,Branch,Two-Door Car,Medsize
764,Nevada,No,Extended,High School or Below,2011-01-07,Retired,M,Suburban,Married,Personal Auto,2,1,Branch,Two-Door Car,Small
765,Oregon,No,Basic,High School or Below,2011-01-18,Employed,F,Suburban,Married,Personal Auto,1,4,Branch,Four-Door Car,Small
766,Oregon,No,Extended,Bachelor,2011-01-07,Employed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Sports Car,Large
767,California,Yes,Premium,College,2011-01-01,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Two-Door Car,Medsize
768,California,No,Basic,College,2011-02-13,Unemployed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize
769,Oregon,No,Basic,Bachelor,2011-02-10,Unemployed,M,Suburban,Single,Corporate Auto,2,3,Branch,Four-Door Car,Medsize
770,Washington,No,Extended,College,2011-01-10,Retired,F,Suburban,Married,Personal Auto,3,1,Branch,Two-Door Car,Medsize
771,California,Yes,Premium,Bachelor,2011-01-28,Employed,F,Suburban,Single,Personal Auto,3,1,Branch,Two-Door Car,Medsize
772,Nevada,No,Basic,Bachelor,2011-01-23,Employed,F,Urban,Married,Personal Auto,3,4,Web,Four-Door Car,Medsize
773,California,No,Basic,College,2011-02-28,Employed,F,Urban,Married,Personal Auto,3,3,Agent,SUV,Medsize
774,Arizona,No,Premium,Bachelor,2011-01-06,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize
775,Oregon,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Corporate Auto,3,4,Branch,Luxury Car,Large
776,California,Yes,Basic,High School or Below,2011-02-14,Employed,F,Rural,Single,Personal Auto,2,2,Agent,Four-Door Car,Medsize
777,California,No,Extended,Bachelor,2011-01-31,Employed,M,Urban,Divorced,Corporate Auto,3,1,Web,SUV,Medsize
778,Oregon,No,Extended,College,2011-01-13,Employed,M,Rural,Single,Corporate Auto,3,3,Call Center,Four-Door Car,Medsize
779,California,No,Extended,High School or Below,2011-01-13,Employed,F,Suburban,Married,Personal Auto,1,2,Branch,Four-Door Car,Medsize
780,Oregon,No,Premium,Bachelor,2011-01-16,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Medsize
781,Oregon,No,Basic,High School or Below,2011-02-16,Unemployed,F,Suburban,Divorced,Personal Auto,3,2,Agent,SUV,Medsize
782,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Agent,SUV,Medsize
783,Nevada,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,3,1,Branch,Four-Door Car,Large
784,Oregon,No,Extended,College,2011-01-24,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize
785,California,No,Basic,High School or Below,2011-02-04,Employed,F,Rural,Married,Special Auto,3,4,Web,Four-Door Car,Medsize
786,Arizona,No,Basic,College,2011-01-14,Unemployed,F,Suburban,Single,Corporate Auto,2,4,Call Center,Four-Door Car,Medsize
787,Nevada,Yes,Extended,Master,2011-02-17,Retired,F,Suburban,Married,Personal Auto,2,2,Agent,Two-Door Car,Medsize
788,Oregon,No,Basic,College,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,1,3,Branch,Four-Door Car,Medsize
789,Arizona,Yes,Basic,College,2011-02-14,Employed,M,Suburban,Married,Special Auto,1,2,Agent,Four-Door Car,Large
790,Washington,No,Basic,College,2011-02-20,Employed,M,Rural,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize
791,California,No,Basic,College,2011-01-21,Employed,M,Rural,Divorced,Personal Auto,3,3,Branch,Two-Door Car,Large
792,Arizona,Yes,Premium,College,2011-01-19,Employed,M,Suburban,Single,Personal Auto,2,2,Branch,Sports Car,Medsize
793,Arizona,No,Basic,College,2011-02-24,Employed,F,Rural,Single,Personal Auto,3,4,Branch,Two-Door Car,Medsize
794,Arizona,No,Basic,Master,2011-02-14,Employed,F,Urban,Married,Personal Auto,3,4,Call Center,Four-Door Car,Medsize
795,Oregon,No,Basic,High School or Below,2011-01-27,Employed,F,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
796,Nevada,No,Basic,Bachelor,2011-02-06,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize
797,Washington,No,Basic,Bachelor,2011-02-22,Employed,F,Rural,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Medsize
798,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize
799,Oregon,No,Basic,College,2011-01-13,Disabled,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Medsize
800,Oregon,Yes,Basic,College,2011-01-27,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Large
801,Oregon,No,Basic,Bachelor,2011-01-28,Medical Leave,F,Urban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
802,California,Yes,Basic,High School or Below,2011-01-02,Employed,F,Urban,Married,Personal Auto,3,2,Branch,SUV,Large
803,Oregon,No,Basic,College,2011-01-07,Employed,F,Urban,Married,Corporate Auto,3,3,Agent,Four-Door Car,Medsize
804,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Suburban,Married,Corporate Auto,3,1,Call Center,SUV,Medsize
805,Nevada,Yes,Basic,High School or Below,2011-01-05,Retired,M,Suburban,Married,Special Auto,1,3,Web,Four-Door Car,Medsize
806,California,No,Basic,High School or Below,2011-02-17,Unemployed,F,Suburban,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize
807,Arizona,No,Extended,Bachelor,2011-02-21,Employed,M,Urban,Married,Corporate Auto,3,2,Agent,Four-Door Car,Medsize
808,Arizona,Yes,Premium,Bachelor,2011-02-16,Disabled,F,Suburban,Divorced,Special Auto,1,1,Agent,Four-Door Car,Medsize
809,California,Yes,Basic,Bachelor,2011-01-21,Employed,F,Rural,Single,Special Auto,2,2,Web,Four-Door Car,Medsize
810,Oregon,No,Basic,Bachelor,2011-02-28,Unemployed,M,Suburban,Single,Personal Auto,2,1,Web,Luxury Car,Medsize
811,Washington,No,Basic,Bachelor,2011-02-12,Employed,M,Rural,Divorced,Personal Auto,3,4,Branch,SUV,Large
812,Arizona,No,Extended,Doctor,2011-02-19,Employed,M,Rural,Single,Personal Auto,2,4,Call Center,Four-Door Car,Medsize
813,Arizona,No,Basic,High School or Below,2011-02-13,Employed,M,Suburban,Married,Personal Auto,1,1,Agent,Two-Door Car,Large
814,Washington,No,Extended,High School or Below,2011-02-21,Employed,M,Rural,Married,Special Auto,2,4,Agent,Four-Door Car,Medsize
815,California,No,Basic,Master,2011-01-02,Employed,M,Urban,Divorced,Personal Auto,1,3,Call Center,SUV,Medsize
816,Oregon,No,Basic,College,2011-02-02,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
817,California,No,Basic,Bachelor,2011-01-22,Employed,M,Suburban,Divorced,Personal Auto,3,2,Branch,Luxury Car,Medsize
818,California,No,Premium,College,2011-02-02,Unemployed,M,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize
819,Oregon,No,Premium,Bachelor,2011-02-22,Employed,F,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Medsize
820,Washington,No,Extended,High School or Below,2011-01-30,Employed,F,Rural,Married,Personal Auto,1,4,Call Center,Two-Door Car,Medsize
821,Nevada,No,Extended,High School or Below,2011-01-29,Employed,F,Suburban,Married,Personal Auto,3,3,Web,Two-Door Car,Medsize
822,Oregon,No,Extended,Bachelor,2011-01-27,Unemployed,M,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Medsize
823,Oregon,Yes,Extended,Doctor,2011-01-13,Unemployed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize
824,California,No,Basic,High School or Below,2011-02-24,Employed,F,Suburban,Married,Corporate Auto,2,1,Call Center,Four-Door Car,Small
825,California,No,Basic,Bachelor,2011-01-26,Employed,M,Rural,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize
826,California,Yes,Basic,Master,2011-01-16,Employed,F,Suburban,Divorced,Corporate Auto,2,2,Branch,SUV,Medsize
827,Nevada,No,Premium,Doctor,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,1,Web,Four-Door Car,Medsize
828,Nevada,No,Basic,High School or Below,2011-01-25,Unemployed,M,Suburban,Single,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize
829,Oregon,No,Basic,College,2011-02-06,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Call Center,Four-Door Car,Small
830,California,No,Basic,Master,2011-01-17,Employed,F,Urban,Single,Corporate Auto,2,3,Agent,SUV,Medsize
831,Oregon,No,Basic,College,2011-02-06,Employed,F,Urban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
832,Oregon,No,Premium,College,2011-02-17,Employed,M,Suburban,Married,Personal Auto,3,2,Web,Luxury Car,Small
833,California,No,Basic,College,2011-01-28,Employed,M,Rural,Married,Personal Auto,2,2,Branch,Four-Door Car,Medsize
834,Washington,No,Premium,College,2011-02-02,Unemployed,M,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize
835,Arizona,Yes,Basic,Master,2011-01-31,Employed,M,Rural,Divorced,Personal Auto,3,2,Branch,Four-Door Car,Small
836,Arizona,No,Basic,Master,2011-02-07,Employed,M,Suburban,Married,Personal Auto,2,1,Branch,SUV,Medsize
837,Arizona,No,Basic,High School or Below,2011-01-05,Employed,F,Suburban,Married,Personal Auto,3,4,Branch,Two-Door Car,Medsize
838,California,No,Extended,Bachelor,2011-02-11,Employed,M,Rural,Married,Personal Auto,2,3,Branch,Four-Door Car,Medsize
839,Oregon,No,Extended,College,2011-02-17,Employed,F,Rural,Married,Personal Auto,1,3,Branch,Four-Door Car,Large
840,California,Yes,Extended,College,2011-01-14,Employed,M,Suburban,Single,Personal Auto,3,2,Agent,Luxury SUV,Small
841,California,No,Basic,Bachelor,2011-01-17,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Small
842,California,No,Basic,High School or Below,2011-02-24,Unemployed,F,Suburban,Single,Personal Auto,3,4,Call Center,Four-Door Car,Medsize
843,California,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Married,Personal Auto,2,1,Agent,Four-Door Car,Large
844,California,Yes,Basic,High School or Below,2011-01-05,Retired,M,Suburban,Married,Corporate Auto,3,3,Web,Four-Door Car,Medsize
845,Arizona,No,Basic,High School or Below,2011-01-17,Unemployed,F,Suburban,Married,Personal Auto,2,2,Call Center,Four-Door Car,Small
846,California,No,Basic,Master,2011-02-08,Employed,F,Suburban,Married,Personal Auto,2,3,Web,Four-Door Car,Small
847,California,No,Basic,College,2011-02-10,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
848,Oregon,No,Basic,College,2011-01-15,Employed,M,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize
849,California,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Married,Personal Auto,2,1,Branch,Two-Door Car,Small
850,Oregon,No,Extended,Bachelor,2011-01-12,Employed,M,Rural,Married,Personal Auto,2,1,Call Center,SUV,Medsize
851,California,No,Extended,College,2011-01-20,Unemployed,M,Suburban,Single,Personal Auto,1,1,Agent,SUV,Medsize
852,Oregon,No,Extended,College,2011-01-08,Employed,M,Suburban,Single,Corporate Auto,3,1,Branch,SUV,Large
853,Washington,No,Basic,College,2011-02-02,Unemployed,M,Suburban,Single,Personal Auto,3,4,Web,SUV,Medsize
854,California,Yes,Extended,Doctor,2011-02-18,Employed,M,Rural,Divorced,Personal Auto,3,2,Branch,Four-Door Car,Medsize
855,California,No,Basic,Bachelor,2011-01-23,Employed,M,Rural,Married,Personal Auto,1,4,Branch,Four-Door Car,Medsize
856,Washington,No,Extended,High School or Below,2011-02-12,Unemployed,M,Suburban,Married,Personal Auto,3,3,Agent,SUV,Medsize
857,California,No,Extended,Master,2011-02-19,Employed,F,Urban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize
858,California,No,Basic,College,2011-01-12,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Two-Door Car,Medsize
859,Oregon,Yes,Basic,Master,2011-01-26,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Sports Car,Medsize
860,Arizona,Yes,Extended,Bachelor,2011-02-27,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Medsize
861,Washington,No,Basic,College,2011-01-04,Employed,F,Rural,Divorced,Personal Auto,2,1,Branch,Two-Door Car,Medsize
862,California,No,Extended,College,2011-02-14,Employed,F,Urban,Married,Personal Auto,2,3,Branch,Four-Door Car,Large
863,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Personal Auto,2,2,Agent,Two-Door Car,Medsize
864,Oregon,No,Basic,High School or Below,2011-01-24,Employed,M,Suburban,Married,Personal Auto,3,3,Web,SUV,Medsize
865,California,Yes,Basic,College,2011-02-03,Employed,M,Urban,Married,Corporate Auto,3,2,Web,Four-Door Car,Medsize
866,Arizona,No,Extended,Bachelor,2011-01-18,Employed,M,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize
867,Nevada,No,Extended,High School or Below,2011-01-18,Employed,F,Suburban,Married,Personal Auto,1,2,Web,SUV,Medsize
868,Nevada,No,Extended,High School or Below,2011-02-04,Employed,F,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Medsize
869,Washington,Yes,Basic,Bachelor,2011-02-19,Unemployed,M,Suburban,Married,Special Auto,3,1,Agent,SUV,Large
870,Oregon,Yes,Basic,Master,2011-01-19,Employed,M,Suburban,Married,Personal Auto,3,3,Web,Two-Door Car,Small
871,Arizona,No,Basic,High School or Below,2011-01-16,Employed,M,Suburban,Married,Personal Auto,2,2,Agent,Luxury SUV,Small
872,Arizona,No,Basic,Bachelor,2011-02-17,Employed,M,Rural,Single,Personal Auto,3,1,Call Center,Sports Car,Medsize
873,Washington,No,Basic,Doctor,2011-01-30,Employed,F,Rural,Married,Personal Auto,2,3,Call Center,Four-Door Car,Medsize
874,California,No,Basic,High School or Below,2011-02-04,Employed,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Medsize
875,Oregon,No,Extended,College,2011-01-27,Unemployed,M,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize
876,California,No,Basic,College,2011-01-20,Disabled,M,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
877,Arizona,No,Basic,Master,2011-02-07,Employed,M,Suburban,Single,Personal Auto,1,3,Agent,Sports Car,Medsize
878,California,No,Basic,Bachelor,2011-01-10,Unemployed,M,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Large
879,Oregon,No,Basic,College,2011-02-21,Employed,F,Urban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
880,Arizona,No,Extended,Bachelor,2011-02-03,Employed,M,Suburban,Married,Personal Auto,1,2,Call Center,Four-Door Car,Large
881,Arizona,No,Basic,High School or Below,2011-01-01,Employed,F,Rural,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize
882,Arizona,No,Extended,High School or Below,2011-02-23,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
883,Oregon,No,Basic,High School or Below,2011-01-19,Employed,M,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small
884,Washington,No,Basic,Doctor,2011-01-20,Employed,F,Rural,Married,Corporate Auto,3,4,Branch,Four-Door Car,Medsize
885,Nevada,No,Extended,College,2011-02-11,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Sports Car,Medsize
886,Arizona,No,Basic,High School or Below,2011-01-03,Employed,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Large
887,California,No,Extended,High School or Below,2011-02-20,Employed,M,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
888,Arizona,No,Extended,Bachelor,2011-01-18,Medical Leave,M,Suburban,Married,Personal Auto,2,2,Web,Luxury SUV,Medsize
889,California,No,Basic,College,2011-02-21,Employed,F,Suburban,Married,Corporate Auto,3,1,Branch,SUV,Small
890,California,No,Basic,Bachelor,2011-01-21,Employed,F,Urban,Married,Personal Auto,3,3,Web,SUV,Medsize
891,California,No,Basic,Bachelor,2011-02-06,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Agent,SUV,Medsize
892,Arizona,No,Basic,High School or Below,2011-02-01,Unemployed,F,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Large
893,Arizona,Yes,Basic,Bachelor,2011-01-31,Employed,M,Rural,Married,Special Auto,3,3,Agent,Four-Door Car,Medsize
894,Oregon,Yes,Basic,Bachelor,2011-02-17,Retired,M,Suburban,Divorced,Corporate Auto,3,2,Web,Four-Door Car,Medsize
895,California,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Medsize
896,Washington,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Medsize
897,Washington,No,Basic,College,2011-02-10,Employed,F,Rural,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize
898,Nevada,No,Premium,Master,2011-01-04,Employed,F,Rural,Married,Corporate Auto,3,3,Branch,Two-Door Car,Large
899,California,No,Basic,Bachelor,2011-01-16,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Four-Door Car,Small
900,Arizona,No,Basic,High School or Below,2011-01-05,Medical Leave,F,Urban,Single,Special Auto,2,3,Branch,Four-Door Car,Medsize
901,California,No,Basic,Bachelor,2011-01-21,Employed,F,Urban,Married,Personal Auto,3,1,Branch,Luxury SUV,Small
902,Oregon,No,Extended,Doctor,2011-01-02,Employed,M,Rural,Married,Personal Auto,3,1,Branch,Sports Car,Medsize
903,Oregon,No,Basic,Bachelor,2011-02-16,Employed,F,Urban,Married,Personal Auto,2,1,Agent,SUV,Medsize
904,Arizona,No,Extended,High School or Below,2011-01-01,Medical Leave,M,Suburban,Divorced,Personal Auto,1,1,Agent,Two-Door Car,Medsize
905,California,No,Extended,College,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Large
906,Arizona,No,Basic,College,2011-01-15,Employed,F,Suburban,Divorced,Corporate Auto,3,4,Branch,Four-Door Car,Medsize
907,California,No,Extended,College,2011-01-02,Employed,F,Urban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize
908,Arizona,Yes,Extended,High School or Below,2011-01-05,Employed,F,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small
909,Nevada,No,Basic,Bachelor,2011-02-21,Employed,F,Suburban,Divorced,Corporate Auto,3,3,Web,Four-Door Car,Medsize
910,Oregon,Yes,Basic,Bachelor,2011-02-05,Retired,M,Suburban,Divorced,Personal Auto,3,1,Branch,SUV,Medsize
911,Arizona,No,Extended,High School or Below,2011-01-14,Unemployed,F,Suburban,Single,Corporate Auto,2,3,Agent,Four-Door Car,Medsize
912,Arizona,No,Basic,Bachelor,2011-02-10,Employed,F,Rural,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Medsize
913,California,No,Basic,College,2011-01-12,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
914,Washington,No,Extended,High School or Below,2011-01-15,Employed,M,Urban,Married,Personal Auto,2,2,Agent,Four-Door Car,Medsize
915,Washington,No,Extended,Master,2011-02-10,Medical Leave,F,Suburban,Single,Personal Auto,2,3,Agent,Four-Door Car,Small
916,Oregon,No,Basic,College,2011-02-02,Employed,F,Rural,Married,Special Auto,2,3,Call Center,Four-Door Car,Medsize
917,Arizona,Yes,Premium,High School or Below,2011-02-19,Employed,F,Rural,Married,Special Auto,1,2,Web,Four-Door Car,Medsize
918,Washington,No,Extended,Master,2011-01-19,Employed,M,Rural,Single,Personal Auto,3,4,Branch,Two-Door Car,Medsize
919,California,No,Basic,High School or Below,2011-01-21,Employed,F,Rural,Married,Personal Auto,2,3,Agent,Four-Door Car,Medsize
920,California,No,Basic,Bachelor,2011-01-08,Employed,M,Suburban,Married,Corporate Auto,3,1,Branch,SUV,Medsize
921,Oregon,No,Basic,College,2011-01-20,Employed,M,Suburban,Married,Personal Auto,2,3,Call Center,Four-Door Car,Small
922,Oregon,No,Extended,High School or Below,2011-01-07,Employed,M,Urban,Married,Personal Auto,1,2,Call Center,Two-Door Car,Medsize
