,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,sales_channel,vehicle_class,vehicle_size
2019,California,0,1,2,Employed,1,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
2020,Oregon,0,1,3,Employed,0,Urban,Married,Personal Auto,2,Branch,Two-Door Car,2
2021,Oregon,0,3,2,Employed,0,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
2022,California,1,2,2,Medical Leave,1,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,1
2023,California,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,1
2024,Nevada,1,2,2,Employed,1,Suburban,Single,Personal Auto,1,Agent,Luxury SUV,1
2025,Arizona,1,1,2,Employed,0,Rural,Single,Corporate Auto,3,Agent,Two-Door Car,2
2026,Nevada,0,1,1,Employed,0,Suburban,Married,Personal Auto,2,Web,Four-Door Car,2
2027,Washington,0,3,2,Employed,0,Urban,Married,Personal Auto,2,Agent,SUV,2
2028,Washington,1,2,3,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,SUV,1
2029,Oregon,0,1,2,Employed,1,Rural,Married,Personal Auto,3,Agent,Four-Door Car,1
2030,Oregon,0,1,4,Employed,1,Suburban,Divorced,Corporate Auto,2,Web,Four-Door Car,1
2031,Oregon,0,1,2,Employed,1,Urban,Married,Corporate Auto,3,Agent,Sports Car,1
2032,Oregon,0,2,1,Employed,1,Urban,Married,Personal Auto,3,Web,SUV,2
2033,Washington,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,2
2034,California,0,3,1,Employed,0,Urban,Married,Personal Auto,2,Branch,Two-Door Car,2
2035,Oregon,0,2,2,Employed,1,Suburban,Divorced,Personal Auto,2,Branch,Four-Door Car,1
2036,California,0,1,2,Employed,1,Rural,Married,Personal Auto,1,Call Center,SUV,1
2037,California,1,2,2,Employed,1,Suburban,Single,Special Auto,2,Agent,Luxury SUV,1
2038,Washington,0,1,2,Employed,0,Urban,Single,Personal Auto,3,Call Center,Four-Door Car,2
2039,Oregon,0,1,1,Disabled,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,2
2040,Washington,0,1,2,Employed,0,Suburban,Married,Personal Auto,3,Call Center,Two-Door Car,1
2041,Arizona,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Agent,SUV,2
2042,Arizona,1,3,1,Employed,0,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,2
2043,Washington,0,2,1,Employed,1,Suburban,Married,Corporate Auto,3,Branch,SUV,2
2044,Arizona,0,3,1,Employed,1,Urban,Married,Personal Auto,1,Call Center,Sports Car,2
2045,Arizona,0,2,2,Employed,0,Suburban,Divorced,Personal Auto,3,Branch,Four-Door Car,2
2046,California,0,2,2,Employed,0,Suburban,Married,Corporate Auto,3,Agent,SUV,2
2047,California,0,1,2,Employed,1,Suburban,Single,Personal Auto,2,Branch,SUV,2
2048,Washington,0,2,4,Employed,0,Rural,Divorced,Personal Auto,2,Agent,Two-Door Car,2
2049,Oregon,0,2,3,Unemployed,1,Suburban,Divorced,Personal Auto,2,Agent,Four-Door Car,2
2050,Nevada,0,1,1,Employed,0,Rural,Married,Personal Auto,2,Web,SUV,2
2051,Oregon,0,3,1,Disabled,1,Suburban,Married,Corporate Auto,3,Branch,Two-Door Car,2
2052,California,1,1,2,Medical Leave,0,Suburban,Married,Personal Auto,3,Branch,Sports Car,3
2053,Nevada,0,2,2,Employed,0,Urban,Divorced,Personal Auto,3,Call Center,Four-Door Car,2
2054,California,1,1,2,Unemployed,0,Suburban,Single,Special Auto,3,Web,Two-Door Car,2
2055,Oregon,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Branch,SUV,2
2056,Arizona,0,1,1,Employed,1,Urban,Married,Personal Auto,2,Agent,Four-Door Car,2
2057,Nevada,0,1,2,Employed,0,Urban,Married,Personal Auto,2,Agent,Two-Door Car,2
2058,California,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,1
2059,Arizona,0,1,3,Employed,1,Urban,Married,Personal Auto,3,Branch,Four-Door Car,1
2060,Arizona,0,1,2,Employed,0,Rural,Married,Corporate Auto,2,Call Center,Four-Door Car,3
2061,Nevada,0,1,2,Employed,0,Suburban,Married,Corporate Auto,3,Branch,Two-Door Car,2
2062,California,0,2,3,Unemployed,0,Rural,Married,Personal Auto,2,Agent,Two-Door Car,2
2063,California,0,1,2,Unemployed,1,Suburban,Married,Personal Auto,1,Call Center,SUV,3
2064,Washington,0,3,1,Unemployed,1,Suburban,Single,Personal Auto,2,Branch,Two-Door Car,2
2065,Arizona,0,1,3,Unemployed,1,Rural,Married,Personal Auto,1,Branch,Two-Door Car,2
2066,Nevada,1,2,2,Employed,0,Suburban,Divorced,Personal Auto,3,Agent,Four-Door Car,2
2067,California,0,2,1,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,SUV,2
2068,California,0,1,1,Employed,1,Suburban,Single,Personal Auto,2,Branch,SUV,2
2069,Arizona,0,1,2,Employed,1,Suburban,Divorced,Personal Auto,2,Call Center,Four-Door Car,3
2070,Oregon,1,2,3,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,SUV,1
2071,Oregon,1,1,2,Retired,1,Suburban,Divorced,Corporate Auto,3,Web,Four-Door Car,2
2072,California,0,1,2,Employed,0,Rural,Married,Corporate Auto,1,Agent,Two-Door Car,2
2073,Nevada,1,1,3,Disabled,0,Suburban,Divorced,Personal Auto,2,Agent,Four-Door Car,1
2074,California,1,2,1,Retired,0,Suburban,Divorced,Personal Auto,2,Agent,Four-Door Car,3
2075,California,0,1,2,Employed,0,Rural,Married,Corporate Auto,3,Branch,Four-Door Car,2
2076,Nevada,0,3,2,Unemployed,0,Suburban,Married,Personal Auto,3,Call Center,SUV,1
2077,Arizona,1,1,2,Employed,1,Rural,Married,Corporate Auto,3,Agent,SUV,2
2078,Oregon,0,3,1,Unemployed,1,Suburban,Single,Personal Auto,2,Branch,Four-Door Car,2
2079,Arizona,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,1,Branch,Four-Door Car,2
2080,Washington,0,1,2,Employed,0,Rural,Married,Corporate Auto,1,Agent,Four-Door Car,3
2081,California,1,2,4,Employed,1,Suburban,Divorced,Corporate Auto,2,Agent,Sports Car,2
2082,California,0,2,2,Unemployed,0,Suburban,Married,Personal Auto,3,Web,Four-Door Car,2
2083,Washington,0,1,1,Employed,1,Rural,Single,Personal Auto,1,Agent,Two-Door Car,2
2084,Arizona,1,1,2,Disabled,0,Suburban,Divorced,Personal Auto,2,Web,Four-Door Car,2
2085,Arizona,1,1,2,Employed,1,Suburban,Single,Personal Auto,2,Call Center,SUV,2
2086,California,0,1,2,Disabled,0,Suburban,Divorced,Personal Auto,1,Web,Sports Car,2
2087,California,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,2
2088,California,0,1,2,Medical Leave,0,Suburban,Married,Personal Auto,2,Branch,Two-Door Car,1
2089,Oregon,0,1,2,Unemployed,1,Suburban,Married,Personal Auto,3,Web,Two-Door Car,1
2090,California,1,1,1,Retired,1,Suburban,Married,Personal Auto,3,Web,Four-Door Car,2
2091,California,0,1,4,Unemployed,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
2092,Oregon,0,1,1,Employed,0,Urban,Married,Personal Auto,3,Web,SUV,2
2093,Arizona,0,1,1,Employed,0,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
2094,Oregon,0,1,2,Employed,1,Rural,Single,Personal Auto,2,Web,SUV,2
2095,California,1,1,2,Employed,0,Urban,Married,Personal Auto,3,Branch,SUV,2
2096,Oregon,0,2,1,Employed,0,Urban,Single,Personal Auto,3,Call Center,Sports Car,2
2097,Arizona,0,2,1,Medical Leave,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,3
2098,Washington,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,3
2099,Washington,0,2,2,Employed,1,Suburban,Single,Personal Auto,3,Call Center,Two-Door Car,2
2100,Nevada,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,2,Call Center,Four-Door Car,2
2101,Oregon,0,2,2,Employed,0,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,3
2102,California,0,3,1,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,Four-Door Car,1
2103,Oregon,0,2,1,Employed,0,Rural,Divorced,Personal Auto,3,Web,Four-Door Car,2
2104,Washington,0,1,2,Unemployed,1,Suburban,Divorced,Personal Auto,2,Agent,Sports Car,2
2105,Arizona,0,1,2,Unemployed,1,Suburban,Single,Corporate Auto,3,Call Center,SUV,2
2106,Oregon,0,1,2,Employed,0,Urban,Married,Personal Auto,2,Call Center,SUV,1
2107,Oregon,0,1,1,Employed,0,Suburban,Divorced,Corporate Auto,1,Agent,Four-Door Car,1
2108,Arizona,0,1,2,Unemployed,1,Suburban,Divorced,Special Auto,2,Branch,Two-Door Car,2
2109,Oregon,0,1,2,Medical Leave,0,Suburban,Married,Personal Auto,2,Agent,SUV,2
2110,Oregon,0,2,1,Unemployed,0,Suburban,Single,Personal Auto,1,Branch,Four-Door Car,3
2111,Washington,1,2,2,Retired,1,Suburban,Married,Corporate Auto,1,Agent,Four-Door Car,2
2112,Oregon,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,2
2113,Arizona,0,1,2,Medical Leave,0,Suburban,Married,Personal Auto,3,Call Center,Four-Door Car,2
2114,Washington,1,1,2,Medical Leave,1,Suburban,Divorced,Personal Auto,2,Agent,Four-Door Car,2
2115,California,0,1,1,Employed,0,Urban,Divorced,Personal Auto,1,Branch,Four-Door Car,2
2116,California,0,1,2,Employed,0,Suburban,Married,Personal Auto,3,Call Center,Luxury SUV,2
2117,Oregon,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,2,Branch,Four-Door Car,2
2118,Arizona,0,1,1,Employed,1,Suburban,Married,Corporate Auto,2,Web,Four-Door Car,2
2119,Oregon,0,1,2,Employed,0,Suburban,Married,Personal Auto,1,Call Center,Four-Door Car,1
2120,California,1,2,1,Disabled,0,Suburban,Married,Personal Auto,3,Agent,Two-Door Car,1
2121,Oregon,0,1,2,Unemployed,0,Suburban,Single,Special Auto,2,Agent,Luxury SUV,2
2122,Oregon,0,2,2,Employed,0,Urban,Divorced,Personal Auto,3,Branch,Four-Door Car,3
2123,California,0,1,2,Medical Leave,0,Urban,Married,Personal Auto,2,Call Center,Two-Door Car,3
2124,Arizona,1,2,2,Employed,1,Urban,Divorced,Special Auto,1,Call Center,Four-Door Car,2
2125,California,0,2,3,Employed,1,Suburban,Married,Personal Auto,1,Call Center,Four-Door Car,2
2126,Oregon,0,1,2,Disabled,1,Suburban,Married,Personal Auto,2,Agent,SUV,2
2127,Oregon,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,2
2128,Nevada,0,2,1,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,2
2129,California,0,1,2,Employed,1,Rural,Divorced,Personal Auto,2,Branch,SUV,2
2130,Oregon,0,1,1,Medical Leave,0,Suburban,Married,Personal Auto,3,Web,Two-Door Car,1
2131,Arizona,1,3,1,Employed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
2132,Oregon,0,1,1,Employed,1,Rural,Married,Corporate Auto,2,Branch,Four-Door Car,2
2133,Nevada,0,2,1,Employed,1,Rural,Married,Personal Auto,3,Call Center,Two-Door Car,2
2134,California,0,2,3,Employed,0,Suburban,Married,Personal Auto,1,Agent,Sports Car,3
2135,California,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,3,Web,Four-Door Car,2
2136,Arizona,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,1,Web,SUV,2
2137,Oregon,0,1,2,Employed,0,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,1
2138,California,1,1,2,Employed,1,Suburban,Divorced,Special Auto,3,Call Center,Two-Door Car,1
2139,Oregon,0,3,1,Unemployed,0,Suburban,Single,Corporate Auto,2,Call Center,Sports Car,2
2140,Oregon,1,2,2,Employed,0,Suburban,Married,Special Auto,3,Agent,Two-Door Car,1
2141,Washington,0,1,4,Employed,1,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
2142,Oregon,0,2,3,Unemployed,1,Suburban,Divorced,Personal Auto,3,Call Center,SUV,1
2143,California,1,2,3,Employed,1,Urban,Married,Corporate Auto,3,Agent,Four-Door Car,2
2144,Arizona,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Call Center,Four-Door Car,2
2145,Arizona,0,1,1,Employed,0,Rural,Married,Personal Auto,2,Branch,Two-Door Car,1
2146,Oregon,0,3,2,Employed,0,Suburban,Married,Corporate Auto,2,Agent,Four-Door Car,2
2147,California,1,2,2,Employed,0,Suburban,Divorced,Personal Auto,1,Branch,Four-Door Car,2
2148,Arizona,0,2,1,Employed,0,Suburban,Married,Personal Auto,2,Branch,Sports Car,2
2149,Oregon,0,1,2,Unemployed,0,Suburban,Single,Corporate Auto,1,Agent,Four-Door Car,1
2150,California,0,1,4,Employed,0,Suburban,Married,Personal Auto,3,Call Center,Luxury SUV,2
2151,Arizona,0,1,2,Employed,1,Suburban,Married,Special Auto,2,Branch,Four-Door Car,1
2152,Arizona,0,2,1,Employed,0,Suburban,Married,Personal Auto,2,Web,Two-Door Car,2
2153,Oregon,0,2,3,Employed,0,Suburban,Married,Personal Auto,3,Branch,Luxury Car,2
2154,California,1,2,2,Employed,0,Suburban,Married,Personal Auto,3,Branch,SUV,2
2155,Washington,0,1,1,Employed,1,Rural,Married,Corporate Auto,3,Agent,Four-Door Car,2
2156,Oregon,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Branch,Two-Door Car,2
2157,California,0,3,2,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,SUV,3
2158,California,0,1,2,Employed,0,Urban,Married,Personal Auto,3,Call Center,SUV,2
2159,Nevada,0,1,3,Medical Leave,1,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
2160,California,0,1,1,Employed,1,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,2
2161,Oregon,0,2,2,Employed,1,Urban,Married,Personal Auto,2,Call Center,Two-Door Car,2
2162,California,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
2163,Oregon,0,2,2,Unemployed,0,Suburban,Divorced,Personal Auto,2,Web,Four-Door Car,1
2164,California,0,1,4,Employed,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
2165,Arizona,1,1,2,Employed,1,Suburban,Married,Corporate Auto,3,Call Center,Two-Door Car,2
2166,Oregon,1,2,2,Employed,0,Rural,Divorced,Personal Auto,2,Agent,Four-Door Car,2
2167,California,0,2,2,Unemployed,1,Suburban,Single,Corporate Auto,2,Branch,SUV,2
2168,Arizona,1,1,2,Retired,0,Suburban,Divorced,Personal Auto,2,Agent,SUV,1
2169,Oregon,0,2,4,Medical Leave,1,Suburban,Married,Personal Auto,3,Call Center,Four-Door Car,2
2170,Nevada,1,1,1,Employed,1,Urban,Married,Personal Auto,3,Agent,Four-Door Car,3
2171,Oregon,0,1,1,Employed,0,Urban,Married,Personal Auto,3,Web,Two-Door Car,2
2172,Oregon,0,1,1,Employed,1,Suburban,Single,Personal Auto,2,Call Center,Two-Door Car,1
2173,Arizona,1,1,2,Unemployed,1,Suburban,Married,Personal Auto,2,Branch,SUV,2
2174,Oregon,0,1,2,Employed,1,Suburban,Married,Corporate Auto,2,Agent,Four-Door Car,1
2175,California,0,2,1,Employed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,3
2176,Washington,0,3,1,Unemployed,1,Suburban,Married,Corporate Auto,1,Branch,Two-Door Car,1
2177,California,0,1,3,Employed,0,Suburban,Divorced,Personal Auto,2,Branch,Two-Door Car,2
2178,Washington,1,1,2,Retired,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
2179,Arizona,0,2,2,Employed,0,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,2
2180,Oregon,1,2,2,Employed,0,Suburban,Divorced,Corporate Auto,3,Agent,Luxury SUV,2
2181,Oregon,0,1,1,Employed,0,Suburban,Divorced,Personal Auto,3,Branch,Four-Door Car,2
2182,California,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,2,Agent,Two-Door Car,2
2183,Arizona,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,2,Call Center,Two-Door Car,3
2184,Oregon,0,2,2,Employed,1,Urban,Single,Personal Auto,2,Web,SUV,2
2185,Oregon,1,2,2,Retired,0,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,1
2186,California,0,1,1,Unemployed,0,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,2
2187,Arizona,0,2,2,Unemployed,0,Suburban,Single,Corporate Auto,1,Call Center,Four-Door Car,2
2188,California,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,3,Branch,Sports Car,2
2189,Oregon,0,3,1,Employed,0,Rural,Single,Personal Auto,3,Agent,Two-Door Car,2
2190,California,0,3,2,Employed,0,Rural,Single,Personal Auto,2,Web,SUV,3
2191,Oregon,0,2,2,Employed,0,Rural,Divorced,Personal Auto,3,Call Center,Four-Door Car,2
2192,Arizona,1,2,2,Unemployed,1,Suburban,Married,Personal Auto,2,Agent,SUV,2
2193,Washington,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,2
2194,Oregon,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,1,Call Center,Four-Door Car,2
2195,Oregon,0,1,4,Employed,0,Urban,Single,Personal Auto,1,Call Center,Two-Door Car,2
2196,California,0,1,1,Unemployed,0,Suburban,Single,Personal Auto,2,Branch,Four-Door Car,2
2197,Washington,1,2,4,Employed,1,Rural,Divorced,Corporate Auto,2,Branch,Four-Door Car,2
2198,California,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Call Center,Two-Door Car,2
2199,California,0,2,2,Employed,1,Urban,Married,Corporate Auto,3,Agent,Four-Door Car,2
2200,Oregon,0,2,3,Employed,1,Rural,Divorced,Corporate Auto,2,Branch,Four-Door Car,2
2201,California,0,1,2,Employed,0,Rural,Divorced,Special Auto,2,Call Center,Four-Door Car,2
2202,Washington,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,1,Branch,Two-Door Car,2
2203,Oregon,0,2,3,Unemployed,0,Urban,Married,Personal Auto,3,Branch,Four-Door Car,3
2204,Oregon,1,2,1,Retired,0,Suburban,Divorced,Corporate Auto,1,Agent,Four-Door Car,3
2205,Arizona,0,1,2,Employed,0,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,2
2206,Oregon,0,1,2,Employed,0,Urban,Married,Personal Auto,2,Branch,SUV,2
2207,California,0,3,2,Employed,1,Rural,Married,Personal Auto,2,Call Center,Two-Door Car,2
2208,Oregon,1,3,1,Employed,1,Suburban,Divorced,Corporate Auto,2,Agent,Luxury SUV,2
2209,Oregon,0,2,2,Disabled,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,1
2210,Arizona,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,1
2211,Arizona,0,1,2,Employed,1,Suburban,Married,Special Auto,2,Call Center,Two-Door Car,1
2212,Oregon,0,1,2,Employed,1,Urban,Married,Personal Auto,3,Call Center,Two-Door Car,2
2213,Arizona,0,1,2,Employed,0,Urban,Married,Corporate Auto,2,Agent,SUV,2
2214,Oregon,0,3,4,Employed,0,Urban,Married,Personal Auto,3,Call Center,Four-Door Car,2
2215,Arizona,0,3,3,Employed,0,Rural,Single,Corporate Auto,3,Web,Two-Door Car,2
2216,Arizona,0,2,2,Disabled,1,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,2
2217,Nevada,0,3,2,Employed,1,Suburban,Divorced,Personal Auto,3,Call Center,Four-Door Car,3
2218,California,1,1,2,Retired,1,Suburban,Single,Corporate Auto,2,Agent,Two-Door Car,2
2219,Arizona,0,2,2,Medical Leave,0,Rural,Divorced,Corporate Auto,2,Branch,SUV,2
2220,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,1,Branch,Two-Door Car,1
2221,California,0,1,2,Employed,1,Suburban,Single,Personal Auto,3,Call Center,Four-Door Car,1
2222,Washington,0,2,3,Retired,1,Suburban,Married,Corporate Auto,1,Web,Four-Door Car,2
2223,Washington,0,1,2,Employed,0,Urban,Married,Personal Auto,3,Agent,Two-Door Car,2
2224,Nevada,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,SUV,2
2225,Arizona,1,3,1,Employed,1,Suburban,Divorced,Personal Auto,2,Agent,Luxury SUV,2
2226,California,0,2,1,Unemployed,1,Suburban,Divorced,Personal Auto,3,Agent,Four-Door Car,2
2227,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,Two-Door Car,2
2228,California,0,2,2,Employed,1,Rural,Single,Personal Auto,1,Call Center,Two-Door Car,2
2229,California,0,1,2,Employed,1,Rural,Married,Personal Auto,2,Call Center,Luxury SUV,2
2230,Oregon,0,1,2,Employed,1,Suburban,Divorced,Corporate Auto,3,Web,Luxury SUV,2
2231,California,0,1,2,Employed,1,Rural,Married,Personal Auto,2,Agent,Four-Door Car,2
2232,California,0,1,1,Employed,0,Suburban,Married,Corporate Auto,1,Call Center,SUV,2
2233,Nevada,0,2,1,Employed,0,Rural,Married,Special Auto,2,Branch,Four-Door Car,2
2234,Nevada,1,2,2,Employed,1,Rural,Married,Personal Auto,3,Agent,Sports Car,2
2235,California,0,2,1,Unemployed,1,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,1
2236,Nevada,0,1,1,Unemployed,0,Suburban,Single,Personal Auto,2,Agent,Four-Door Car,2
2237,Oregon,0,3,2,Unemployed,0,Rural,Married,Corporate Auto,3,Branch,SUV,1
2238,California,0,1,2,Employed,1,Urban,Married,Personal Auto,1,Branch,SUV,3
2239,Nevada,0,2,1,Employed,1,Rural,Divorced,Corporate Auto,1,Agent,Four-Door Car,2
2240,Oregon,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,1,Agent,SUV,2
2241,Washington,1,1,1,Employed,0,Rural,Single,Corporate Auto,3,Agent,Four-Door Car,2
2242,Arizona,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,1,Web,Four-Door Car,1
2243,Arizona,0,1,2,Employed,1,Suburban,Married,Corporate Auto,3,Agent,Four-Door Car,2
2244,Washington,0,2,2,Employed,0,Urban,Single,Personal Auto,2,Agent,SUV,2
2245,Arizona,0,2,2,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,Two-Door Car,2
2246,Nevada,0,1,1,Employed,0,Rural,Married,Personal Auto,1,Agent,Four-Door Car,2
2247,California,0,1,1,Employed,0,Urban,Married,Personal Auto,1,Agent,Four-Door Car,2
2248,Arizona,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,2,Branch,SUV,2
2249,Oregon,0,3,2,Unemployed,1,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,1
2250,Arizona,0,1,1,Medical Leave,0,Urban,Married,Corporate Auto,3,Agent,Four-Door Car,2
2251,Arizona,0,1,2,Employed,1,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,2
2252,Oregon,0,1,2,Employed,0,Urban,Married,Personal Auto,2,Agent,Four-Door Car,2
2253,California,0,2,2,Employed,0,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,2
2254,Nevada,0,2,2,Employed,1,Suburban,Single,Corporate Auto,3,Agent,Four-Door Car,2
2255,California,0,1,4,Employed,1,Rural,Divorced,Corporate Auto,3,Web,Four-Door Car,2
2256,Arizona,0,2,2,Employed,1,Suburban,Divorced,Personal Auto,2,Branch,Four-Door Car,2
2257,Arizona,0,1,4,Employed,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
2258,Oregon,0,3,1,Employed,1,Suburban,Married,Corporate Auto,1,Branch,Four-Door Car,2
2259,Washington,0,1,2,Disabled,1,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
2260,Oregon,1,2,2,Medical Leave,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,1
2261,California,1,2,2,Employed,0,Suburban,Divorced,Personal Auto,1,Agent,Luxury SUV,2
2262,California,0,1,2,Employed,1,Urban,Married,Personal Auto,3,Branch,SUV,2
2263,Oregon,0,3,2,Disabled,0,Suburban,Married,Personal Auto,1,Call Center,Two-Door Car,2
2264,Oregon,0,1,3,Employed,1,Rural,Married,Corporate Auto,2,Branch,SUV,2
2265,Nevada,0,1,2,Disabled,0,Suburban,Married,Personal Auto,2,Branch,SUV,1
2266,Oregon,0,3,2,Employed,1,Rural,Married,Personal Auto,2,Branch,SUV,3
2267,Washington,0,1,3,Employed,1,Rural,Married,Personal Auto,2,Web,Four-Door Car,3
2268,Oregon,1,1,1,Employed,0,Urban,Married,Personal Auto,3,Agent,SUV,2
2269,Nevada,0,1,1,Employed,0,Urban,Married,Personal Auto,1,Call Center,Four-Door Car,2
2270,California,0,2,2,Unemployed,1,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,2
2271,California,0,1,1,Employed,1,Suburban,Married,Personal Auto,3,Branch,SUV,2
2272,Arizona,1,1,3,Employed,0,Rural,Single,Corporate Auto,2,Web,Four-Door Car,2
2273,California,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,2
2274,California,0,1,1,Employed,0,Suburban,Single,Personal Auto,2,Agent,Two-Door Car,2
2275,Washington,1,1,3,Employed,0,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,1
2276,Oregon,0,1,2,Employed,0,Suburban,Married,Special Auto,3,Branch,Four-Door Car,2
2277,Arizona,0,1,2,Unemployed,0,Rural,Married,Personal Auto,3,Web,Four-Door Car,2
2278,Nevada,0,1,2,Unemployed,1,Suburban,Married,Personal Auto,2,Branch,Two-Door Car,2
2279,California,0,1,1,Employed,1,Suburban,Married,Corporate Auto,1,Branch,Four-Door Car,2
2280,Washington,0,1,1,Employed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
2281,Arizona,0,3,2,Employed,1,Urban,Married,Corporate Auto,2,Agent,Four-Door Car,2
2282,Oregon,0,1,1,Employed,0,Suburban,Divorced,Personal Auto,3,Branch,Four-Door Car,1
2283,Washington,0,2,1,Disabled,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
2284,Nevada,1,2,2,Unemployed,0,Suburban,Divorced,Corporate Auto,3,Call Center,Two-Door Car,3
2285,Arizona,0,1,3,Employed,0,Urban,Married,Personal Auto,2,Agent,SUV,2
2286,Arizona,0,2,2,Employed,0,Suburban,Married,Special Auto,1,Branch,Luxury Car,2
2287,Arizona,0,1,2,Employed,0,Suburban,Married,Personal Auto,2,Branch,SUV,2
2288,Nevada,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,3,Agent,Four-Door Car,1
2289,Nevada,0,1,3,Employed,0,Suburban,Married,Personal Auto,3,Call Center,SUV,3
2290,Oregon,0,2,2,Employed,1,Urban,Married,Personal Auto,1,Call Center,Two-Door Car,2
2291,Oregon,0,1,2,Employed,0,Urban,Married,Corporate Auto,3,Agent,Four-Door Car,2
2292,Arizona,0,1,3,Employed,1,Urban,Married,Personal Auto,3,Agent,Luxury Car,2
2293,California,0,1,3,Employed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,1
2294,Washington,0,2,1,Employed,1,Suburban,Married,Personal Auto,1,Branch,Luxury Car,2
2295,Arizona,0,2,3,Employed,1,Rural,Married,Personal Auto,3,Agent,SUV,2
2296,Oregon,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Call Center,Four-Door Car,2
